make,model,displacement,number_cyl,number_gears,city_mpg,hwy_mpg
Honda,NSX,3.5,6,9,21,22
aston martin,Vantage Manual,4,8,7,14,21
aston martin,Vantage V8,4,8,8,18,24
Volkswagen Group of,R8,5.2,10,7,13,20
Volkswagen Group of,R8 2WD,5.2,10,7,14,23
Volkswagen Group of,R8 Spyder,5.2,10,7,13,20
Volkswagen Group of,R8 Spyder 2WD,5.2,10,7,14,23
Volkswagen Group of,TT Roadster quattro,2,4,7,23,31
BMW,Z4 M40i,3,6,8,22,30
BMW,Z4 sDrive30i,2,4,8,25,32
Volkswagen Group of,Chiron,8,16,7,9,14
Volkswagen Group of,Chiron Pur Sport,8,16,7,8,13
General Motors,CORVETTE,6.2,8,8,15,27
Ferrari,812 GTS,6.5,12,7,12,15
Ferrari,812 Superfast,6.5,12,7,12,16
Ferrari,F8 Spider,3.9,8,7,15,18
Ferrari,F8 Tributo,3.9,8,7,15,19
Ford Motor Company,FORD GT,3.5,6,7,12,18
Jaguar Land Rover L,F-TYPE Convertible,2,4,8,23,30
Jaguar Land Rover L,F-TYPE Coupe,2,4,8,23,30
Jaguar Land Rover L,F-TYPE R AWD Convertible,5,8,8,16,24
Jaguar Land Rover L,F-TYPE R AWD Coupe,5,8,8,16,24
Jaguar Land Rover L,F-TYPE S AWD Convertible,3,6,8,18,26
Jaguar Land Rover L,F-TYPE S AWD Coupe,3,6,8,18,26
Jaguar Land Rover L,F-TYPE S Convertible,3,6,8,19,27
Jaguar Land Rover L,F-TYPE S Coupe,3,6,8,19,27
Volkswagen Group of,Aventador Coupe,6.5,12,7,8,15
Volkswagen Group of,Aventador Roadster,6.5,12,7,9,15
Volkswagen Group of,Aventador Sian Coupe,6.5,12,7,8,14
Volkswagen Group of,Aventador Sian Roadster,6.5,12,7,8,14
Volkswagen Group of,Huracan,5.2,10,7,13,18
Volkswagen Group of,Huracan 2WD,5.2,10,7,13,18
Volkswagen Group of,Huracan Spyder,5.2,10,7,13,18
Volkswagen Group of,Huracan Spyder 2WD,5.2,10,7,13,18
MAZDA,MX-5,2,4,6,26,35
McLaren Automotive,765LT Coupe,4,8,7,14,18
McLaren Automotive,720S Coupe,4,8,7,15,22
McLaren Automotive,720S Coupe LM,4,8,7,15,22
McLaren Automotive,720S Spider,4,8,7,15,22
McLaren Automotive,Elva,4,8,7,15,21
McLaren Automotive,GT,4,8,7,15,22
Mercedes-Benz,AMG GT (coupe),4,8,7,15,20
Mercedes-Benz,AMG GT (roadster),4,8,7,15,20
Mercedes-Benz,AMG GT Black Series,4,8,7,15,20
Mercedes-Benz,AMG GT C (coupe),4,8,7,15,19
Mercedes-Benz,AMG GT C (roadster),4,8,7,15,20
Mercedes-Benz,AMG GT R (coupe),4,8,7,14,20
Nissan,370Z,3.7,6,6,17,26
Porsche,718 Boxster,2,4,7,21,27
Porsche,718 Boxster GTS 4.0,4,6,7,19,24
Porsche,718 Boxster S,2.5,4,7,19,25
Porsche,718 Boxster T,2,4,7,21,27
Porsche,718 Cayman,2,4,7,21,27
Porsche,718 Cayman GT4,4,6,7,18,24
Porsche,718 Cayman GTS 4.0,4,6,7,19,24
Porsche,718 Cayman S,2.5,4,7,19,25
Porsche,718 Cayman T,2,4,7,21,27
Porsche,718 Spyder,4,6,7,18,24
BMW,Supra 2.0,2,4,8,25,32
BMW,Supra 3.0,3,6,8,22,30
aston martin,DB11 V12,5.2,12,8,15,22
aston martin,DB11 V8,4,8,8,18,24
aston martin,DBS,5.2,12,8,14,22
Volkswagen Group of,Continental GT Convertible,4,8,8,16,26
Ferrari,Portofino,3.9,8,7,16,22
Ferrari,Portofino M,3.9,8,8,16,23
Toyota,LC 500 CONVERTIBLE,5,8,10,15,25
Lotus,Evora GT,3.5,6,6,17,24
BMW,COOPER CONVERTIBLE,1.5,3,7,28,37
BMW,COOPER S CONVERTIBLE,2,4,7,26,34
BMW,JOHN COOPER WORKS CONVERTIBLE,2,4,8,25,33
Porsche,911 Carrera,3,6,8,18,24
Porsche,911 Carrera 4,3,6,8,18,24
Porsche,911 Carrera 4 Cabriolet,3,6,8,18,24
Porsche,911 Carrera 4S,3,6,8,18,23
Porsche,911 Carrera 4S Cabriolet,3,6,8,18,23
Porsche,911 Carrera Cabriolet,3,6,8,18,24
Porsche,911 Carrera S,3,6,8,18,23
Porsche,911 Carrera S Cabriolet,3,6,8,18,23
Porsche,911 Targa 4,3,6,8,18,24
Porsche,911 Targa 4S,3,6,8,18,23
Porsche,911 Turbo,3.7,6,8,15,20
Porsche,911 Turbo Cabriolet,3.7,6,8,15,20
Porsche,911 Turbo S,3.7,6,8,15,20
Porsche,911 Turbo S Cabriolet,3.7,6,8,15,20
Volkswagen Group of,A5 Cabriolet quattro,2,4,7,23,31
Volkswagen Group of,A5 quattro,2,4,7,24,31
Volkswagen Group of,RS 5,2.9,6,8,18,25
Volkswagen Group of,S5,3,6,8,20,28
Volkswagen Group of,S5 Cabriolet,3,6,8,20,26
Volkswagen Group of,TT Coupe quattro,2,4,7,23,31
Volkswagen Group of,TT RS,2.5,5,7,20,30
Volkswagen Group of,TTS Coupe,2,4,7,23,29
Volkswagen Group of,Continental GT,4,8,8,16,26
BMW,230i Convertible,2,4,8,23,33
BMW,230i Coupe,2,4,8,25,32
BMW,230i xDrive Convertible,2,4,8,21,30
BMW,230i xDrive Coupe,2,4,8,21,30
BMW,430i Convertible,2,4,8,24,33
BMW,430i Coupe,2,4,8,26,34
BMW,430i xDrive Coupe,2,4,8,24,33
BMW,840i Convertible,3,6,8,22,29
BMW,840i Coupe,3,6,8,23,30
BMW,840i xDrive Convertible,3,6,8,20,27
BMW,840i xDrive Coupe,3,6,8,20,27
BMW,M2 Competition Coupe,3,6,7,16,23
BMW,M240i Convertible,3,6,8,21,30
BMW,M240i Coupe,3,6,8,21,30
BMW,M240i xDrive Convertible,3,6,8,21,30
BMW,M240i xDrive Coupe,3,6,8,21,30
BMW,M4 Competition Coupe,3,6,8,16,23
BMW,M4 Coupe,3,6,6,16,23
BMW,M440i Convertible,3,6,8,23,31
BMW,M440i xDrive Coupe,3,6,8,22,31
BMW,M8 Competition Convertible,4.4,8,8,15,21
BMW,M8 Convertible,4.4,8,8,15,21
BMW,M850i xDrive Convertible,4.4,8,8,17,24
BMW,M850i xDrive Coupe,4.4,8,8,17,25
General Motors,CAMARO,2,4,8,22,30
General Motors,SPARK,1.4,4,1,30,38
General Motors,SPARK ACTIV,1.4,4,1,30,37
Ferrari,Roma,3.9,8,8,17,22
Ford Motor Company,MUSTANG,2.3,4,10,21,32
Ford Motor Company,MUSTANG CONVERTIBLE,2.3,4,10,20,28
Ford Motor Company,MUSTANG HO CONVERTIBLE,2.3,4,10,19,26
Ford Motor Company,MUSTANG HO COUPE,2.3,4,10,20,27
Ford Motor Company,MUSTANG MACH 1,5,8,10,15,23
Ford Motor Company,SHELBY GT500 MUSTANG,5.2,8,7,12,18
Nissan,Q60,3,6,7,19,28
Nissan,Q60 AWD,3,6,7,19,27
Nissan,Q60 AWD RED SPORT,3,6,7,19,26
Nissan,Q60 RED SPORT,3,6,7,20,27
Toyota,LC 500,5,8,10,16,25
Toyota,LC 500h,3.5,6,10,26,34
Toyota,RC 300,2,4,8,21,31
Toyota,RC 300 AWD,3.5,6,6,19,26
Toyota,RC 350,3.5,6,8,20,28
Toyota,RC 350 AWD,3.5,6,6,19,26
Toyota,RC F,5,8,8,16,24
Mercedes-Benz,A 220,2,4,7,25,36
Mercedes-Benz,A 220 4MATIC,2,4,7,25,34
Mercedes-Benz,AMG A 35 4MATIC,2,4,7,22,29
Mercedes-Benz,AMG C 43 4MATIC (convertible),3,6,9,19,27
Mercedes-Benz,AMG C 43 4MATIC (coupe),3,6,9,19,27
Mercedes-Benz,AMG C 63 (convertible),4,8,9,17,25
Mercedes-Benz,AMG C 63 (coupe),4,8,9,17,26
Mercedes-Benz,AMG C 63 S (convertible),4,8,9,17,25
Mercedes-Benz,AMG C 63 S (coupe),4,8,9,17,26
Mercedes-Benz,AMG E53 4MATIC+ (Convertible),3,6,9,21,27
Mercedes-Benz,AMG E53 4MATIC+ (Coupe),3,6,9,21,28
Mercedes-Benz,AMG S 63 4MATIC+ (convertible),4,8,9,14,24
Mercedes-Benz,C 300 (convertible),2,4,9,23,31
Mercedes-Benz,C 300 (Coupe),2,4,9,24,33
Mercedes-Benz,C 300 4MATIC (convertible),2,4,9,22,30
Mercedes-Benz,C 300 4MATIC (Coupe),2,4,9,23,32
Mercedes-Benz,E 450 (convertible),3,6,9,23,30
Mercedes-Benz,E 450 (coupe),3,6,9,23,31
Mercedes-Benz,E 450 4MATIC (convertible),3,6,9,23,29
Mercedes-Benz,E 450 4MATIC (coupe),3,6,9,23,30
Mercedes-Benz,S 560 (convertible),4,8,9,16,26
BMW,COOPER HARDTOP 2 DOOR,1.5,3,7,28,37
BMW,COOPER HARDTOP 4 DOOR,1.5,3,7,28,37
BMW,COOPER S HARDTOP 2 DOOR,2,4,7,26,35
BMW,COOPER S HARDTOP 4 DOOR,2,4,7,26,35
BMW,John Cooper Works GP,2,4,8,24,30
BMW,JOHN COOPER WORKS HARDTOP,2,4,8,26,34
Nissan,GT-R,3.8,6,6,16,22
Roush,Roush Mustang,5,8,10,12,19
Honda,ILX,2.4,4,8,24,34
Honda,TLX AWD,2,4,10,21,29
Honda,TLX AWD A-SPEC,2,4,10,21,29
Honda,TLX FWD,2,4,10,22,31
Honda,TLX FWD A-SPEC,2,4,10,22,30
Honda,TLX Type-S,3,6,10,19,25
Honda,TLX Type-S Perf Tire,3,6,10,19,24
Volkswagen Group of,A4 quattro,2,4,7,25,34
Volkswagen Group of,A4 S line quattro,2,4,7,24,31
Volkswagen Group of,S4,3,6,8,20,28
BMW,228i Gran Coupe,2,4,8,24,33
BMW,228i xDrive Gran Coupe,2,4,8,23,33
BMW,330i,2,4,8,26,36
BMW,330i xDrive,2,4,8,25,34
BMW,M235i xDrive Gran Coupe,2,4,8,23,32
BMW,M3,3,6,6,16,23
BMW,M3 Competition,3,6,8,16,23
BMW,M340i,3,6,8,23,32
BMW,M340i xDrive,3,6,8,22,31
General Motors,CT4,2,4,8,23,34
General Motors,CT4 AWD,2,4,8,23,32
General Motors,CT4 V,2.7,4,10,20,29
General Motors,CT4 V AWD,2.7,4,10,20,28
Hyundai,G70 AWD,2,4,8,20,27
Hyundai,G70 RWD,2,4,8,22,30
Honda,INSIGHT TOURING,1.5,4,1,51,45
Hyundai,Accent,1.6,4,1,33,41
Hyundai,Veloster,1.6,4,7,28,34
Hyundai,Veloster N,2,4,8,20,27
Jaguar Land Rover L,XE P250,2,4,8,25,34
Jaguar Land Rover L,XE P250 AWD,2,4,8,24,34
Jaguar Land Rover L,XE P300 AWD,2,4,8,22,30
Kia,Rio,1.6,4,1,33,41
Toyota,IS 300,2,4,8,21,31
Toyota,IS 300 AWD,3.5,6,6,19,26
Toyota,IS 350,3.5,6,8,20,28
Toyota,IS 350 AWD,3.5,6,6,19,26
Toyota,UX 250h,2,4,6,43,41
Toyota,UX 250h AWD,2,4,6,41,38
MAZDA,CX-3 2WD,2,4,6,29,34
MAZDA,CX-3 4WD,2,4,6,27,32
MAZDA,MAZDA2,1.5,4,6,32,40
MAZDA,MAZDA3 4-Door 2WD,2,4,6,28,36
MAZDA,MAZDA3 4-Door 4WD,2.5,4,6,23,32
Mercedes-Benz,AMG C 43 4MATIC,3,6,9,18,27
Mercedes-Benz,AMG C 63,4,8,9,17,26
Mercedes-Benz,AMG C 63 S,4,8,9,17,26
Mercedes-Benz,AMG CLA 35 4MATIC,2,4,7,22,29
Mercedes-Benz,AMG CLA 45 4MATIC,2,4,8,20,29
Mercedes-Benz,AMG CLS53 4MATIC+,3,6,9,21,26
Mercedes-Benz,AMG GT 43 4MATIC+,3,6,9,20,25
Mercedes-Benz,AMG GT 53 4MATIC+,3,6,9,20,25
Mercedes-Benz,AMG GT 63 4MATIC+,4,8,9,16,21
Mercedes-Benz,AMG GT 63 S 4MATIC+,4,8,9,16,21
Mercedes-Benz,AMG S 63 4MATIC+ (coupe),4,8,9,16,26
Mercedes-Benz,C 300,2,4,9,23,35
Mercedes-Benz,C 300 4MATIC,2,4,9,23,33
Mercedes-Benz,CLA 250,2,4,7,25,35
Mercedes-Benz,CLA 250 4MATIC,2,4,7,24,33
Mercedes-Benz,CLS 450,3,6,9,23,30
Mercedes-Benz,CLS 450 4MATIC,3,6,9,22,29
Mercedes-Benz,S 560 4MATIC (coupe),4,8,9,16,26
Mitsubishi Motors Co,MIRAGE,1.2,3,1,36,43
Mitsubishi Motors Co,MIRAGE G4,1.2,3,1,35,41
Nissan,VERSA,1.6,4,1,32,40
Rolls-Royce,Dawn,6.6,12,8,12,18
Rolls-Royce,Dawn Black Badge,6.6,12,8,12,18
Subaru,WRX,2,4,8,18,24
Toyota,C-HR,2,4,7,27,31
Toyota,COROLLA,1.8,4,1,30,38
Toyota,COROLLA APEX,2,4,10,31,38
Toyota,COROLLA HATCHBACK,2,4,10,32,41
Toyota,COROLLA HATCHBACK MANUAL,2,4,6,28,37
Toyota,COROLLA HATCHBACK XSE,2,4,10,30,38
Toyota,COROLLA HYBRID,1.8,4,1,53,52
Toyota,COROLLA XLE,1.8,4,1,29,37
Toyota,COROLLA XSE,2,4,10,31,38
Volkswagen Group of,Golf,1.4,4,8,29,36
Volkswagen Group of,GTI,2,4,7,24,32
Volkswagen Group of,Jetta,1.4,4,8,29,39
