,move,time,real time,evaluation
white,e2e4,0.0,0.0,0.4
black,c7c6,0.0,0.0,0.98
white,d2d4,2.7,2.7,0.53
black,d7d5,2.6,5.3,0.8
white,e4e5,4.7,7.3,-0.03
black,c8f5,5.2,9.9,0.75
white,c2c4,7.1,12.3,0.0
black,e7e6,12.4,19.5,0.71
white,g1f3,28.3,40.7,0.04
black,c6c5,24.0,52.3,1.38
white,d1b3,52.7,76.7,0.1
black,d8d7,35.6,88.3,0.84
white,c4d5,57.2,92.8,0.07
black,d7d5,39.9,97.1,1.39
white,b1c3,67.7,107.6,0.63
black,d5b3,42.6,110.3,1.09
white,a2b3,70.6,113.2,0.74
black,c5d4,43.9,114.5,1.38
white,f3d4,73.8,117.7,0.92
black,f5g6,52.4,126.2,1.48
white,g2g3,77.2,129.6,0.8
black,f8b4,54.7,131.9,1.39
white,f1g2,79.2,133.9,0.91
black,b8d7,93.4,172.6,1.53
white,g2b7,89.9,183.3,1.21
black,a8b8,103.5,193.4,1.42
white,b7c6,92.6,196.1,1.05
black,g8e7,116.0,208.6,1.74
white,c6d7,95.0,211.0,1.02
black,e8d7,119.0,214.0,1.19
white,e1g1,105.8,224.8,0.23
black,b8b7,147.4,253.2,0.72
white,f1d1,133.2,280.6,0.6
black,e7d5,187.9,321.1,1.36
white,c3d5,166.7,354.6,1.06
black,e6d5,189.6,356.3,1.18
white,d4f3,201.4,391.0,1.02
black,g6e4,194.4,395.8,1.15
white,f3g5,218.8,413.2,1.19
black,d7e7,202.2,421.0,1.09
white,g5e4,229.5,431.7,0.89
black,d5e4,202.3,431.8,0.97
white,c1g5,232.2,434.5,0.57
black,e7e6,211.2,443.4,1.03
white,a1a4,257.8,469.0,-0.31
black,e6e5,254.9,512.7,1.12
white,f2f4,275.2,530.1,-1.04
black,e5e6,266.0,541.2,-0.1
white,a4a6,313.7,579.7,-0.4
black,b7b6,313.0,626.7,0.0
white,a6b6,317.6,630.6,-1.48
black,a7b6,318.0,635.6,-1.23
white,d1d4,322.9,640.9,-9.01
black,b4c5,324.8,647.7,-9.95
white,f4f5,370.7,695.5,-9.27
black,e6f5,330.2,700.9,-7.95
white,g5e3,371.2,701.4,-7.94
black,c5d4,335.1,706.3,-7.12
white,e3d4,372.1,707.2,-7.11
black,b6b5,341.0,713.1,-7.17
white,d4g7,376.0,717.0,-7.58
black,h8d8,355.7,731.7,-7.51
white,g7c3,384.2,739.9,-8.47
black,e4e3,360.8,745.0,-8.66
white,g1f1,411.4,772.2,-8.66
black,f5e4,363.6,775.0,-8.29
white,f1e2,416.5,780.1,-9.54
black,d8b8,383.1,799.6,-7.96
white,c3b4,427.7,810.8,-10.34
black,b8c8,388.1,815.8,-9.69
white,b4c3,441.4,829.5,-11.2
black,f7f5,392.6,834.0,-9.38
white,b3b4,461.4,854.0,-12.24
black,f5f4,401.1,862.5,-12.25
white,g3f4,467.3,868.4,-14.44
black,e4f4,401.2,868.5,-11.23
white,h2h3,492.0,893.2,-12.56
black,c8g8,405.4,897.4,-12.5
white,e2f1,508.1,913.5,#-8
black,f4f3,409.8,917.9,#-7
white,c3d4,521.6,931.4,#-7
black,e3e2,414.7,936.3,#-6
white,f1e1,522.5,937.2,#-6
black,g8d8,419.8,942.3,#-5
white,e1d2,573.6,993.4,#-5
black,d8d4,423.2,996.8,#-5
white,d2c3,575.6,998.8,#-5
black,d4h4,428.3,1003.9,#-5
white,b2b3,577.5,1005.8,#-4
black,e2e1q,430.1,1007.6,#-3
white,c3b2,578.9,1009.0,#-3
black,h4b4,435.4,1014.3,#-3
white,b2a3,591.2,1026.6,#-3
black,e1c3,456.2,1047.4,#-2
white,a3a2,594.9,1051.1,#-2
black,c3b3,459.2,1054.1,#-1
white,a2a1,596.4,1055.6,#-1
black,b4a4,460.4,1056.8,#-0
