x0b,x0w,x1b,x1w,x2b,x2w,x3b,x3w,x4b,x4w,x5b,x5w,x6b,x6w,x7b,x7w,x8b,x8w,x9b,x9w,x10b,x10w,x11b,x11w,x12b,x12w,x13b,x13w,x14b,x14w,x15b,x15w,x16b,x16w
-0.55,0.55,-0.55,0.55,-0.4,0.4,-0.38,0.38,-0.42,0.42,-0.44,0.44,-0.57,0.57,-0.3,0.3,-0.55,0.55,0.59,-0.59,-0.55,0.55,-0.55,0.55,-0.38,0.38,-0.4,0.4,-0.38,0.38,-0.57,0.57,-0.5,0.5
-0.55,0.55,-0.55,0.55,-0.4,0.4,-0.38,0.38,-0.37,0.37,-0.44,0.44,-0.57,0.57,-0.15,0.15,-0.52,0.52,0.55,-0.55,-0.52,0.52,-0.55,0.55,-0.38,0.38,-0.4,0.4,-0.38,0.38,-0.57,0.57,-0.5,0.5
-0.55,0.55,-0.55,0.55,-0.4,0.4,-0.38,0.38,-0.37,0.37,-0.23,0.23,-0.57,0.57,-0.15,0.15,-0.52,0.52,0.55,-0.55,-0.52,0.52,-0.55,0.55,-0.24,0.24,-0.4,0.4,-0.24,0.24,-0.57,0.57,-0.37,0.37
-0.55,0.55,-0.55,0.55,-0.45,0.45,-0.31,0.31,-0.37,0.37,-0.23,0.23,-0.43,0.43,-0.15,0.15,-0.52,0.52,0.55,-0.55,-0.52,0.52,-0.55,0.55,-0.24,0.24,-0.4,0.4,-0.24,0.24,-0.45,0.45,-0.37,0.37
-0.55,0.55,-0.55,0.55,-0.31,0.31,-0.75,0.75,-0.37,0.37,-1.23,1.23,-0.33,0.33,-0.24,0.24,-0.52,0.52,0.55,-0.55,-0.52,0.52,-0.55,0.55,-0.24,0.24,-0.45,0.45,-0.24,0.24,-0.45,0.45,-0.37,0.37
1.07,-1.07,-0.55,0.55,-0.31,0.31,-0.75,0.75,-0.62,0.62,-1.23,1.23,-0.51,0.51,-0.24,0.24,-0.52,0.52,0.55,-0.55,-0.52,0.52,-0.55,0.55,-0.24,0.24,-0.45,0.45,-0.24,0.24,-0.37,0.37,-0.37,0.37
1.07,-1.07,-0.55,0.55,-0.25,0.25,-0.75,0.75,-0.62,0.62,-1.23,1.23,-0.51,0.51,-0.24,0.24,-0.93,0.93,0.55,-0.55,-0.52,0.52,-0.55,0.55,-0.4,0.4,-0.45,0.45,-0.24,0.24,-0.37,0.37,-0.62,0.62
1.07,-1.07,-0.55,0.55,-0.25,0.25,-0.75,0.75,-0.62,0.62,-1.23,1.23,-0.51,0.51,-0.24,0.24,-0.09,0.09,0.55,-0.55,-0.52,0.52,-0.55,0.55,0.07,-0.07,-0.45,0.45,-0.24,0.24,-0.24,0.24,-0.62,0.62
0.74,-0.74,-0.55,0.55,-0.25,0.25,-0.75,0.75,-0.62,0.62,-1.23,1.23,-0.44,0.44,-0.22,0.22,-0.09,0.09,0.55,-0.55,-0.52,0.52,-0.16,0.16,0.07,-0.07,-0.31,0.31,-0.51,0.51,-0.24,0.24,-0.62,0.62
1.44,-1.44,-0.55,0.55,-0.45,0.45,-0.75,0.75,-0.62,0.62,-1.23,1.23,-0.44,0.44,-0.38,0.38,-0.19,0.19,0.55,-0.55,-0.52,0.52,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.37,0.37,-0.62,0.62
1.44,-1.44,-0.55,0.55,-0.45,0.45,-0.75,0.75,-0.21,0.21,-1.23,1.23,-0.14,0.14,-0.19,0.19,-0.19,0.19,0.55,-0.55,-0.63,0.63,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.37,0.37,-0.62,0.62
