Move,TimeUsed,TotalTime,Eval
0,0.4,"(0.0, 0.0)","['e2e4', 'c7c6']"
1,0.4,"(0.0, 0.0)",[]
2,0.4,"(0.0, 0.0)",[]
3,0.4,"(0.0, 0.0)",[]
4,0.45,"(3.5, 0.0)",['d2d4']
5,0.45,"(3.5, 0.0)",[]
6,0.31,"(3.5, 1.6)",['d7d5']
7,0.31,"(3.5, 1.6)",[]
8,0.26,"(6.2, 1.6)",['e4d5']
9,0.26,"(6.2, 1.6)",[]
10,0.38,"(6.2, 3.2)",['c6d5']
11,0.38,"(6.2, 3.2)",[]
12,0.38,"(6.2, 3.2)",[]
13,0.24,"(9.8, 3.2)",['g1f3']
14,0.24,"(9.8, 3.2)",[]
15,0.24,"(9.8, 3.2)",[]
16,0.58,"(9.8, 6.1)",['c8g4']
17,0.58,"(9.8, 6.1)",[]
18,0.58,"(9.8, 6.1)",[]
19,0.58,"(9.8, 6.1)",[]
20,0.25,"(13.9, 6.1)",['f1b5']
21,0.25,"(13.9, 6.1)",[]
22,0.25,"(13.9, 6.1)",[]
23,0.36,"(13.9, 8.5)",['b8c6']
24,0.36,"(13.9, 8.5)",[]
25,0.36,"(13.9, 8.5)",[]
26,0.36,"(13.9, 8.5)",[]
27,0.36,"(13.9, 8.5)",[]
28,0.36,"(13.9, 8.5)",[]
29,0.36,"(13.9, 8.5)",[]
30,0.36,"(13.9, 8.5)",[]
31,0.36,"(13.9, 8.5)",[]
32,0.36,"(13.9, 8.5)",[]
33,0.36,"(13.9, 8.5)",[]
34,0.36,"(13.9, 8.5)",[]
35,0.36,"(13.9, 8.5)",[]
36,0.36,"(13.9, 8.5)",[]
37,0.36,"(13.9, 8.5)",[]
38,0.36,"(13.9, 8.5)",[]
39,0.36,"(13.9, 8.5)",[]
40,-0.25,"(31.0, 8.5)",['b1d2']
41,-0.25,"(31.0, 8.5)",[]
42,-0.25,"(31.0, 8.5)",[]
43,-0.25,"(31.0, 8.5)",[]
44,-0.25,"(31.0, 8.5)",[]
45,-0.25,"(31.0, 8.5)",[]
46,0.34,"(31.0, 14.1)",['g4f3']
47,-5.9,"(32.9, 14.1)",['d2f3']
48,-5.9,"(32.9, 14.1)",[]
49,-6.81,"(32.9, 15.7)",['d8a5']
50,-6.81,"(32.9, 15.7)",[]
51,-6.81,"(32.9, 15.7)",[]
52,-6.81,"(32.9, 15.7)",[]
