Time,Eval,TimeUsed,Moves,Board
0,-0.59,"(0.0, 0.0)","['f2f4', 'd7d5']",rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
1,-0.59,"(0.0, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
2,-0.55,"(1.4, 0.0)",['g1f3'],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
3,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
4,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
5,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
6,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
7,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
8,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
9,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
10,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
11,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
12,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
13,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
14,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
15,-0.55,"(1.4, 0.0)",[],rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2
16,-0.01,"(1.4, 14.6)",['b8c6'],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
17,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
18,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
19,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
20,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
21,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
22,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
23,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
24,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
25,-0.01,"(1.4, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3
26,-0.02,"(10.8, 14.6)",['d2d4'],r1bqkbnr/ppp1pppp/2n5/3p4/3P1P2/5N2/PPP1P1PP/RNBQKB1R b KQkq - 0 3
27,-0.02,"(10.8, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/3P1P2/5N2/PPP1P1PP/RNBQKB1R b KQkq - 0 3
28,-0.02,"(10.8, 14.6)",[],r1bqkbnr/ppp1pppp/2n5/3p4/3P1P2/5N2/PPP1P1PP/RNBQKB1R b KQkq - 0 3
29,0.21,"(10.8, 17.6)",['e7e6'],r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1P2/5N2/PPP1P1PP/RNBQKB1R w KQkq - 0 4
30,-0.47,"(11.7, 17.6)",['g2g3'],r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1P2/5NP1/PPP1P2P/RNBQKB1R b KQkq - 0 4
31,-0.2,"(11.7, 18.4)",['f8d6'],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 5
32,0.04,"(13.1, 18.4)",['f1g2'],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
33,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
34,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
35,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
36,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
37,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
38,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
39,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
40,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
41,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
42,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
43,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
44,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
45,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
46,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
47,0.04,"(13.1, 18.4)",[],r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/5NP1/PPP1P1BP/RNBQK2R b KQkq - 2 5
48,0.51,"(13.1, 34.5)",['d6b4'],r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1P1P2/5NP1/PPP1P1BP/RNBQK2R w KQkq - 3 6
49,0.51,"(13.1, 34.5)",[],r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1P1P2/5NP1/PPP1P1BP/RNBQK2R w KQkq - 3 6
50,0.51,"(13.1, 34.5)",[],r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1P1P2/5NP1/PPP1P1BP/RNBQK2R w KQkq - 3 6
51,0.51,"(13.1, 34.5)",[],r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1P1P2/5NP1/PPP1P1BP/RNBQK2R w KQkq - 3 6
52,0.5,"(16.7, 34.5)",['c1d2'],r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1P1P2/5NP1/PPPBP1BP/RN1QK2R b KQkq - 4 6
53,0.5,"(16.7, 34.5)",[],r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1P1P2/5NP1/PPPBP1BP/RN1QK2R b KQkq - 4 6
54,0.8,"(16.7, 37.0)",['b4d2'],r1bqk1nr/ppp2ppp/2n1p3/3p4/3P1P2/5NP1/PPPbP1BP/RN1QK2R w KQkq - 0 7
55,0.37,"(17.7, 37.0)",['b1d2'],r1bqk1nr/ppp2ppp/2n1p3/3p4/3P1P2/5NP1/PPPNP1BP/R2QK2R b KQkq - 0 7
56,0.37,"(17.7, 37.0)",[],r1bqk1nr/ppp2ppp/2n1p3/3p4/3P1P2/5NP1/PPPNP1BP/R2QK2R b KQkq - 0 7
