Move,TimeUsed,TotalTime,Eval
0,0.3,"(0.0, 0.0)","['e2e3', 'd7d5']"
1,0.3,"(0.0, 0.0)",[]
2,0.15,"(1.7, 0.0)",['d2d4']
3,0.15,"(1.7, 0.0)",[]
4,0.15,"(1.7, 0.0)",[]
5,0.24,"(1.7, 2.8)",['g8f6']
6,0.24,"(1.7, 2.8)",[]
7,0.24,"(1.7, 2.8)",[]
8,0.24,"(1.7, 2.8)",[]
9,0.22,"(5.4, 2.8)",['g1f3']
10,0.38,"(5.4, 4.3)",['c8g4']
11,0.25,"(6.2, 4.3)",['f1e2']
12,0.25,"(6.2, 4.3)",[]
13,0.25,"(6.2, 4.3)",[]
14,0.09,"(6.2, 7.4)",['e7e6']
15,0.09,"(6.2, 7.4)",[]
16,0.09,"(6.2, 7.4)",[]
17,0.09,"(6.2, 7.4)",[]
18,0.09,"(6.2, 7.4)",[]
19,0.09,"(6.2, 7.4)",[]
20,0.09,"(6.2, 7.4)",[]
21,-0.08,"(12.8, 7.4)",['f3e5']
22,-0.08,"(12.8, 7.4)",[]
23,-0.08,"(12.8, 7.4)",[]
24,-0.3,"(12.9, 10.4)","['g4e2', 'd1e2']"
25,-0.3,"(12.9, 10.4)",[]
26,-0.3,"(12.9, 10.4)",[]
27,-0.3,"(12.9, 10.4)",[]
28,-0.3,"(12.9, 10.4)",[]
29,-0.3,"(12.9, 10.4)",[]
30,-0.3,"(12.9, 10.4)",[]
31,-0.3,"(12.9, 10.4)",[]
32,-0.3,"(12.9, 10.4)",[]
33,-0.3,"(12.9, 10.4)",[]
34,-0.3,"(12.9, 10.4)",[]
35,-0.3,"(12.9, 10.4)",[]
36,-0.3,"(12.9, 10.4)",[]
37,-0.3,"(12.9, 10.4)",[]
38,-0.3,"(12.9, 10.4)",[]
39,-0.25,"(12.9, 25.9)",['b8d7']
40,-0.25,"(12.9, 25.9)",[]
41,-0.25,"(12.9, 25.9)",[]
42,-0.47,"(15.5, 25.9)",['c1d2']
43,-0.47,"(15.5, 25.9)",[]
44,-0.47,"(15.5, 25.9)",[]
45,-0.42,"(15.5, 28.6)",['d7e5']
46,-0.42,"(15.5, 28.6)",[]
47,-0.5,"(17.7, 28.6)",['d4e5']
48,-0.5,"(17.7, 28.6)",[]
49,-0.5,"(17.7, 28.6)",[]
50,-0.5,"(17.7, 28.6)",[]
51,-0.49,"(17.7, 32.8)",['f6d7']
52,-0.49,"(17.7, 32.8)",[]
53,-0.49,"(17.7, 32.8)",[]
54,-0.49,"(17.7, 32.8)",[]
55,-0.51,"(21.7, 32.8)",['f2f4']
56,-0.51,"(21.7, 32.8)",[]
57,-0.51,"(21.7, 32.8)",[]
58,-0.51,"(21.7, 32.8)",[]
59,-0.51,"(21.7, 32.8)",[]
60,-0.51,"(21.7, 32.8)",[]
61,-0.4,"(21.7, 39.1)",['f8e7']
62,-0.42,"(22.6, 39.1)",['b1c3']
63,-0.05,"(22.6, 39.6)",['e7h4']
64,-0.05,"(22.6, 39.6)",[]
65,-0.13,"(24.6, 40.2)","['g2g3', 'h4e7']"
66,-0.13,"(24.6, 40.2)",[]
67,-0.13,"(24.6, 40.2)",[]
68,-0.61,"(27.0, 40.2)",['e1c1']
69,-0.61,"(27.0, 40.2)",[]
70,-0.61,"(27.0, 40.2)",[]
71,-0.61,"(27.0, 40.2)",[]
72,-0.61,"(27.0, 40.2)",[]
73,-0.61,"(27.0, 40.2)",[]
74,-0.61,"(27.0, 40.2)",[]
75,-0.42,"(27.0, 47.5)",['c7c5']
76,-0.42,"(27.0, 47.5)",[]
77,-0.42,"(27.0, 47.5)",[]
78,-0.42,"(27.0, 47.5)",[]
79,-0.42,"(27.0, 47.5)",[]
80,-0.42,"(27.0, 47.5)",[]
81,-0.42,"(27.0, 47.5)",[]
82,-0.42,"(27.0, 47.5)",[]
83,-0.42,"(27.0, 47.5)",[]
84,-0.42,"(27.0, 47.5)",[]
85,-0.42,"(27.0, 47.5)",[]
86,-0.42,"(27.0, 47.5)",[]
87,-0.42,"(27.0, 47.5)",[]
88,-0.42,"(27.0, 47.5)",[]
89,-0.42,"(27.0, 47.5)",[]
90,-0.42,"(27.0, 47.5)",[]
91,-0.42,"(27.0, 47.5)",[]
92,-0.42,"(27.0, 47.5)",[]
93,-0.42,"(27.0, 47.5)",[]
94,-0.42,"(27.0, 47.5)",[]
95,-0.42,"(27.0, 47.5)",[]
96,-0.42,"(27.0, 47.5)",[]
97,-0.42,"(27.0, 47.5)",[]
98,-0.42,"(27.0, 47.5)",[]
99,-0.42,"(27.0, 47.5)",[]
100,-0.42,"(27.0, 47.5)",[]
101,-0.42,"(27.0, 47.5)",[]
102,-0.42,"(27.0, 47.5)",[]
103,-0.42,"(27.0, 47.5)",[]
104,-0.42,"(27.0, 47.5)",[]
105,-0.42,"(27.0, 47.5)",[]
106,-0.42,"(27.0, 47.5)",[]
107,-0.42,"(27.0, 47.5)",[]
108,-0.42,"(27.0, 47.5)",[]
109,-0.42,"(27.0, 47.5)",[]
110,-0.42,"(27.0, 47.5)",[]
111,-0.42,"(27.0, 47.5)",[]
112,-0.42,"(27.0, 47.5)",[]
113,-0.42,"(27.0, 47.5)",[]
114,-0.42,"(27.0, 47.5)",[]
115,-0.42,"(27.0, 47.5)",[]
116,-0.42,"(27.0, 47.5)",[]
117,-0.42,"(27.0, 47.5)",[]
118,-0.42,"(27.0, 47.5)",[]
119,-0.89,"(71.3, 47.5)",['e2f3']
120,-0.89,"(71.3, 47.5)",[]
121,-0.89,"(71.3, 47.5)",[]
122,-0.89,"(71.3, 47.5)",[]
123,-0.89,"(71.3, 47.5)",[]
124,-0.89,"(71.3, 47.5)",[]
125,-0.89,"(71.3, 47.5)",[]
126,-0.89,"(71.3, 47.5)",[]
127,-0.89,"(71.3, 47.5)",[]
128,-0.89,"(71.3, 47.5)",[]
129,-0.89,"(71.3, 47.5)",[]
130,-0.25,"(71.3, 58.6)",['d7b6']
131,-0.25,"(71.3, 58.6)",[]
132,-0.25,"(71.3, 58.6)",[]
133,-0.25,"(71.3, 58.6)",[]
134,-0.25,"(71.3, 58.6)",[]
135,-0.25,"(71.3, 58.6)",[]
136,-0.25,"(71.3, 58.6)",[]
137,-0.25,"(71.3, 58.6)",[]
138,-0.41,"(78.9, 58.6)",['c3e2']
139,-0.41,"(78.9, 58.6)",[]
140,-0.41,"(78.9, 58.6)",[]
141,-0.41,"(78.9, 58.6)",[]
142,-0.26,"(78.9, 62.6)",['b6c4']
143,-0.26,"(78.9, 62.6)",[]
144,-0.26,"(78.9, 62.6)",[]
145,-0.26,"(78.9, 62.6)",[]
146,-0.26,"(78.9, 62.6)",[]
147,-0.26,"(78.9, 62.6)",[]
148,-0.26,"(78.9, 62.6)",[]
149,-0.26,"(78.9, 62.6)",[]
150,-0.26,"(78.9, 62.6)",[]
151,-0.26,"(78.9, 62.6)",[]
152,-0.26,"(78.9, 62.6)",[]
153,-0.26,"(78.9, 62.6)",[]
154,-0.26,"(78.9, 62.6)",[]
155,-0.26,"(78.9, 62.6)",[]
156,-0.26,"(78.9, 62.6)",[]
157,-0.26,"(78.9, 62.6)",[]
158,-0.26,"(78.9, 62.6)",[]
159,-0.26,"(78.9, 62.6)",[]
160,-0.26,"(78.9, 62.6)",[]
161,-0.26,"(78.9, 62.6)",[]
162,-0.26,"(78.9, 62.6)",[]
163,-0.26,"(78.9, 62.6)",[]
164,-0.26,"(78.9, 62.6)",[]
165,-0.35,"(102.2, 62.6)",['e3e4']
166,-0.35,"(102.2, 62.6)",[]
167,-0.35,"(102.2, 62.6)",[]
168,-0.35,"(102.2, 62.6)",[]
169,-0.35,"(102.2, 62.6)",[]
170,-0.35,"(102.2, 62.6)",[]
171,-0.35,"(102.2, 62.6)",[]
172,-0.35,"(102.2, 62.6)",[]
173,-0.35,"(102.2, 62.6)",[]
174,-0.01,"(102.2, 70.9)",['d8b6']
175,-0.01,"(102.2, 70.9)",[]
176,-0.01,"(102.2, 70.9)",[]
177,-0.01,"(102.2, 70.9)",[]
178,-0.01,"(102.2, 70.9)",[]
179,-0.01,"(102.2, 70.9)",[]
180,-0.01,"(102.2, 70.9)",[]
181,-0.01,"(102.2, 70.9)",[]
182,-0.01,"(102.2, 70.9)",[]
183,-0.01,"(102.2, 70.9)",[]
184,-0.01,"(102.2, 70.9)",[]
185,-0.01,"(102.2, 70.9)",[]
186,-0.01,"(102.2, 70.9)",[]
187,-1.06,"(116.0, 70.9)",['b2b3']
188,-1.06,"(116.0, 70.9)",[]
189,-1.06,"(116.0, 70.9)",[]
190,-1.06,"(116.0, 70.9)",[]
191,-1.06,"(116.0, 70.9)",[]
192,-1.06,"(116.0, 70.9)",[]
193,-1.06,"(116.0, 70.9)",[]
194,-1.06,"(116.0, 70.9)",[]
195,-1.06,"(116.0, 70.9)",[]
196,-1.06,"(116.0, 70.9)",[]
197,-0.89,"(116.0, 80.1)",['c4d2']
198,-1.02,"(117.7, 80.1)",['d1d2']
199,2.17,"(117.7, 80.6)",['c5c4']
200,2.17,"(117.7, 80.6)",[]
201,2.17,"(117.7, 80.6)",[]
202,2.17,"(117.7, 80.6)",[]
203,2.17,"(117.7, 80.6)",[]
204,2.17,"(117.7, 80.6)",[]
205,2.17,"(117.7, 80.6)",[]
206,2.17,"(117.7, 80.6)",[]
207,1.99,"(126.3, 80.6)",['e4d5']
208,1.99,"(126.3, 80.6)",[]
209,1.99,"(126.3, 80.6)",[]
210,1.99,"(126.3, 80.6)",[]
211,1.99,"(126.3, 80.6)",[]
212,1.99,"(126.3, 80.6)",[]
213,1.99,"(126.3, 80.6)",[]
214,2.06,"(126.3, 86.8)",['c4b3']
215,2.06,"(126.3, 86.8)",[]
216,2.06,"(126.3, 86.8)",[]
217,2.28,"(129.4, 86.8)",['f3b3']
218,2.28,"(129.4, 86.8)",[]
219,2.28,"(129.4, 86.8)",[]
220,2.28,"(129.4, 86.8)",[]
221,2.28,"(129.4, 86.8)",[]
222,2.28,"(129.4, 86.8)",[]
223,2.28,"(129.4, 86.8)",[]
224,2.28,"(129.4, 86.8)",[]
225,2.28,"(129.4, 86.8)",[]
