Move,TimeUsed,TotalTime,Eval
0,0.38,"(0.0, 0)",['e2e4']
1,0.49,"(0.0, 0.1)",['e7e5']
2,0.37,"(1.9, 0.1)",['g1f3']
3,0.37,"(1.9, 0.1)",[]
4,0.37,"(1.9, 0.1)",[]
5,0.37,"(1.9, 0.1)",[]
6,0.37,"(1.9, 0.1)",[]
7,0.93,"(1.9, 4.9)",['g8f6']
8,0.09,"(2.5, 4.9)",['b1c3']
9,0.09,"(2.5, 4.9)",[]
10,0.19,"(2.5, 6.8)",['b8c6']
11,0.19,"(2.5, 6.8)",[]
12,0.19,"(2.5, 6.8)",[]
13,0.19,"(2.5, 6.8)",[]
14,0.19,"(2.5, 6.8)",[]
15,0.03,"(7.3, 6.8)",['d2d4']
16,0.03,"(7.3, 6.8)",[]
17,0.03,"(7.3, 6.8)",[]
18,0.92,"(7.3, 10.3)",['d7d6']
19,0.92,"(7.3, 10.3)",[]
20,0.92,"(7.3, 10.3)",[]
21,0.92,"(7.3, 10.3)",[]
22,0.92,"(7.3, 10.3)",[]
23,0.92,"(7.3, 10.3)",[]
24,0.92,"(7.3, 10.3)",[]
25,0.47,"(14.3, 10.3)",['c1e3']
26,0.47,"(14.3, 10.3)",[]
27,0.47,"(14.3, 10.3)",[]
28,0.47,"(14.3, 10.3)",[]
29,0.47,"(14.3, 10.3)",[]
30,0.47,"(14.3, 10.3)",[]
31,0.47,"(14.3, 10.3)",[]
32,0.47,"(14.3, 10.3)",[]
33,0.47,"(14.3, 10.3)",[]
34,1.17,"(14.3, 18.9)",['d8e7']
35,1.17,"(14.3, 18.9)",[]
36,1.17,"(14.3, 18.9)",[]
37,1.09,"(17.6, 18.9)",['d4e5']
38,1.09,"(17.6, 18.9)",[]
39,1.07,"(17.6, 21.1)",['d6e5']
40,1.07,"(17.6, 21.1)",[]
41,1.07,"(17.6, 21.1)",[]
42,1.07,"(17.6, 21.1)",[]
43,1.07,"(17.6, 21.1)",[]
44,1.07,"(17.6, 21.1)",[]
45,1.07,"(17.6, 21.1)",[]
46,1.07,"(17.6, 21.1)",[]
47,1.07,"(17.6, 21.1)",[]
48,1.07,"(17.6, 21.1)",[]
49,1.07,"(17.6, 21.1)",[]
50,1.07,"(17.6, 21.1)",[]
51,1.07,"(17.6, 21.1)",[]
52,1.07,"(17.6, 21.1)",[]
53,1.1,"(31.5, 21.1)",['f1b5']
54,1.1,"(31.5, 21.1)",[]
55,1.1,"(31.5, 21.1)",[]
56,1.1,"(31.5, 21.1)",[]
57,1.1,"(31.5, 21.1)",[]
58,1.1,"(31.5, 21.1)",[]
59,1.1,"(31.5, 21.1)",[]
60,1.1,"(31.5, 21.1)",[]
61,1.1,"(31.5, 21.1)",[]
62,1.1,"(31.5, 21.1)",[]
63,1.1,"(31.5, 21.1)",[]
64,1.1,"(31.5, 21.1)",[]
65,1.1,"(31.5, 21.1)",[]
66,1.08,"(31.5, 34.1)",['c8d7']
67,1.08,"(31.5, 34.1)",[]
68,1.08,"(31.5, 34.1)",[]
69,1.08,"(31.5, 34.1)",[]
70,1.08,"(31.5, 34.1)",[]
71,1.08,"(31.5, 34.1)",[]
72,1.08,"(31.5, 34.1)",[]
73,1.08,"(31.5, 34.1)",[]
74,1.08,"(31.5, 34.1)",[]
75,1.08,"(31.5, 34.1)",[]
76,1.08,"(31.5, 34.1)",[]
77,1.08,"(31.5, 34.1)",[]
78,1.08,"(31.5, 34.1)",[]
79,1.08,"(31.5, 34.1)",[]
80,1.08,"(31.5, 34.1)",[]
81,1.08,"(31.5, 34.1)",[]
82,1.08,"(31.5, 34.1)",[]
83,1.08,"(31.5, 34.1)",[]
84,1.08,"(31.5, 34.1)",[]
85,1.08,"(31.5, 34.1)",[]
86,1.08,"(31.5, 34.1)",[]
87,1.08,"(31.5, 34.1)",[]
88,1.08,"(31.5, 34.1)",[]
89,1.08,"(31.5, 34.1)",[]
90,1.08,"(31.5, 34.1)",[]
91,1.08,"(31.5, 34.1)",[]
92,1.08,"(31.5, 34.1)",[]
