Time,Eval,TimeUsed,Moves,Board
0,0.38,"(0.0, 0)",['e2e4'],rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
1,0.42,"(0.0, 0.1)",['e7e5'],rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,0.37,"(1.4, 0.1)",['g1f3'],rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
3,0.37,"(1.4, 0.1)",[],rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
4,0.37,"(1.4, 0.1)",[],rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
5,0.37,"(1.4, 0.1)",[],rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
6,0.62,"(1.4, 4.0)",['b8c6'],r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
7,0.62,"(1.4, 4.0)",[],r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
8,0.62,"(1.4, 4.0)",[],r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
9,0.62,"(1.4, 4.0)",[],r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
10,0.62,"(1.4, 4.0)",[],r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
11,0.21,"(6.7, 4.0)",['b1c3'],r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
12,0.12,"(6.7, 5.1)",['g8f6'],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
13,0.12,"(6.7, 5.1)",[],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
14,0.12,"(6.7, 5.1)",[],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
15,0.12,"(6.7, 5.1)",[],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
16,0.12,"(6.7, 5.1)",[],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
17,0.12,"(6.7, 5.1)",[],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
18,0.12,"(6.7, 5.1)",[],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
19,-0.69,"(13.5, 5.1)",['d1e2'],r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPPQPPP/R1B1KB1R b KQkq - 5 4
20,0.57,"(13.5, 6.4)",['g7g6'],r1bqkb1r/pppp1p1p/2n2np1/4p3/4P3/2N2N2/PPPPQPPP/R1B1KB1R w KQkq - 0 5
21,0.57,"(13.5, 6.4)",[],r1bqkb1r/pppp1p1p/2n2np1/4p3/4P3/2N2N2/PPPPQPPP/R1B1KB1R w KQkq - 0 5
22,0.57,"(13.5, 6.4)",[],r1bqkb1r/pppp1p1p/2n2np1/4p3/4P3/2N2N2/PPPPQPPP/R1B1KB1R w KQkq - 0 5
