Time,Eval,TimeUsed,Moves,Board
0,0.38,"(0.0, 0)",['e2e4'],rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
1,0.44,"(0.0, 0.1)",['e7e6'],rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,0.44,"(0.0, 0.1)",[],rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
3,0.23,"(2.3, 0.1)",['g1f3'],rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
4,0.23,"(2.3, 0.1)",[],rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
5,1.23,"(2.3, 2.0)",['g8f6'],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
6,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
7,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
8,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
9,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
10,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
11,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
12,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
13,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
14,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
15,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
16,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
17,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
18,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
19,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
20,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
21,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
22,1.23,"(2.3, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
23,0.2,"(20.9, 2.0)",['b1c3'],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
24,0.2,"(20.9, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
25,0.2,"(20.9, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
26,0.2,"(20.9, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
27,0.2,"(20.9, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
28,0.2,"(20.9, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
29,0.2,"(20.9, 2.0)",[],rnbqkb1r/pppp1ppp/4pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3
30,6.66,"(20.9, 8.7)",['f8d6'],rnbqk2r/pppp1ppp/3bpn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4
31,1.29,"(22.0, 8.7)",['d2d4'],rnbqk2r/pppp1ppp/3bpn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
32,1.29,"(22.0, 8.7)",[],rnbqk2r/pppp1ppp/3bpn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
33,1.29,"(22.0, 8.7)",[],rnbqk2r/pppp1ppp/3bpn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
34,1.29,"(22.0, 8.7)",[],rnbqk2r/pppp1ppp/3bpn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
35,1.29,"(22.0, 8.7)",[],rnbqk2r/pppp1ppp/3bpn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
36,8.44,"(22.0, 13.3)",['e6e5'],rnbqk2r/pppp1ppp/3b1n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
37,8.44,"(22.0, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
38,8.44,"(22.0, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
39,8.28,"(25.2, 13.3)",['d4e5'],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
40,8.28,"(25.2, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
41,8.28,"(25.2, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
42,8.28,"(25.2, 13.3)",[],rnbqk2r/pppp1ppp/3b1n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5
43,9.6,"(25.2, 17.5)",['d6e7'],rnbqk2r/ppppbppp/5n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6
44,9.6,"(25.2, 17.5)",[],rnbqk2r/ppppbppp/5n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6
45,9.6,"(25.2, 17.5)",[],rnbqk2r/ppppbppp/5n2/4P3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6
46,9.11,"(27.7, 17.5)",['e5f6'],rnbqk2r/ppppbppp/5P2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 6
47,9.11,"(27.7, 17.5)",[],rnbqk2r/ppppbppp/5P2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 6
