Move,TimeUsed,TotalTime,Eval
0,0.38,"(0.0, 0)",['e2e4']
1,0.42,"(0.0, 0.1)",['e7e5']
2,0.42,"(0.0, 0.1)",[]
3,0.42,"(0.0, 0.1)",[]
4,0.42,"(0.0, 0.1)",[]
5,0.42,"(0.0, 0.1)",[]
6,-0.95,"(5.9, 0.1)",['f2f3']
7,-0.95,"(5.9, 0.1)",[]
8,-0.95,"(5.9, 0.1)",[]
9,-1.1,"(5.9, 2.6)",['g8f6']
10,-1.55,"(7.2, 2.6)",['d2d3']
11,-1.55,"(7.2, 2.6)",[]
12,-1.55,"(7.2, 2.6)",[]
13,-1.55,"(7.2, 2.6)",[]
14,-1.55,"(7.2, 2.6)",[]
15,-1.44,"(7.2, 7.6)",['d7d5']
16,-1.44,"(7.2, 7.6)",[]
17,-1.44,"(7.2, 7.6)",[]
18,-1.44,"(7.2, 7.6)",[]
19,-1.44,"(7.2, 7.6)",[]
20,-1.44,"(7.2, 7.6)",[]
21,-1.44,"(7.2, 7.6)",[]
22,-1.44,"(7.2, 7.6)",[]
23,-1.44,"(7.2, 7.6)",[]
24,-1.44,"(7.2, 7.6)",[]
25,-1.44,"(7.2, 7.6)",[]
26,-1.44,"(7.2, 7.6)",[]
27,-1.44,"(7.2, 7.6)",[]
28,-1.44,"(7.2, 7.6)",[]
29,-1.46,"(20.7, 7.6)",['b1c3']
30,-1.46,"(20.7, 7.6)",[]
31,-1.46,"(20.7, 7.6)",[]
32,-1.46,"(20.7, 7.6)",[]
33,-1.46,"(20.7, 7.6)",[]
34,-1.46,"(20.7, 7.6)",[]
35,-1.46,"(20.7, 7.6)",[]
36,-0.15,"(20.7, 14.6)",['d5e4']
37,-0.15,"(20.7, 14.6)",[]
38,-0.15,"(20.7, 14.6)",[]
39,-0.15,"(20.7, 14.6)",[]
40,-0.15,"(20.7, 14.6)",[]
41,-0.15,"(20.7, 14.6)",[]
42,-0.15,"(20.7, 14.6)",[]
43,-0.15,"(20.7, 14.6)",[]
44,-0.15,"(20.7, 14.6)",[]
45,-0.15,"(20.7, 14.6)",[]
46,-0.15,"(20.7, 14.6)",[]
47,-0.15,"(20.7, 14.6)",[]
48,-0.15,"(20.7, 14.6)",[]
49,-0.15,"(20.7, 14.6)",[]
50,-0.27,"(35.3, 14.6)",['d3e4']
51,-0.27,"(35.3, 14.6)",[]
52,-0.27,"(35.3, 14.6)",[]
53,-0.27,"(35.3, 14.6)",[]
54,-0.27,"(35.3, 14.6)",[]
55,0.2,"(35.3, 19.2)",['b8c6']
56,0.2,"(35.3, 19.2)",[]
57,0.2,"(35.3, 19.2)",[]
58,0.07,"(37.9, 19.2)",['d1d8']
59,0.07,"(37.9, 19.2)",[]
60,0.12,"(37.9, 22.0)",['c6d8']
61,0.12,"(37.9, 22.0)",[]
62,0.12,"(37.9, 22.0)",[]
63,0.12,"(37.9, 22.0)",[]
64,0.12,"(37.9, 22.0)",[]
65,0.12,"(37.9, 22.0)",[]
66,0.12,"(37.9, 22.0)",[]
67,0.12,"(37.9, 22.0)",[]
68,0.12,"(37.9, 22.0)",[]
69,0.12,"(37.9, 22.0)",[]
70,0.12,"(37.9, 22.0)",[]
71,0.12,"(37.9, 22.0)",[]
72,0.12,"(37.9, 22.0)",[]
73,0.12,"(37.9, 22.0)",[]
74,0.12,"(37.9, 22.0)",[]
75,0.12,"(37.9, 22.0)",[]
76,-0.07,"(53.7, 22.0)",['c1g5']
77,-0.07,"(53.7, 22.0)",[]
78,-0.07,"(53.7, 22.0)",[]
79,0.15,"(53.7, 25.3)",['f8e7']
80,0.15,"(53.7, 25.3)",[]
81,0.15,"(53.7, 25.3)",[]
82,0.15,"(53.7, 25.3)",[]
83,-0.01,"(57.6, 25.3)",['g5f6']
84,-0.01,"(57.6, 25.3)",[]
85,-0.05,"(57.6, 27.2)",['e7f6']
86,-0.05,"(57.6, 27.2)",[]
87,-0.05,"(57.6, 27.2)",[]
88,-0.05,"(57.6, 27.2)",[]
89,-0.75,"(60.9, 27.2)",['e1c1']
90,-0.75,"(60.9, 27.2)",[]
91,-0.75,"(60.9, 27.2)",[]
92,-0.75,"(60.9, 27.2)",[]
93,-0.75,"(60.9, 27.2)",[]
94,-0.75,"(60.9, 27.2)",[]
95,-0.75,"(60.9, 27.2)",[]
96,-0.75,"(60.9, 27.2)",[]
97,-0.75,"(60.9, 27.2)",[]
98,-0.06,"(60.9, 36.8)",['e8g8']
99,-0.06,"(60.9, 36.8)",[]
100,-0.06,"(60.9, 36.8)",[]
101,-0.06,"(60.9, 36.8)",[]
102,-0.06,"(60.9, 36.8)",[]
103,-0.06,"(60.9, 36.8)",[]
104,-0.06,"(60.9, 36.8)",[]
105,-0.06,"(60.9, 36.8)",[]
106,-0.06,"(60.9, 36.8)",[]
107,-0.06,"(60.9, 36.8)",[]
108,-0.06,"(60.9, 36.8)",[]
109,-0.06,"(60.9, 36.8)",[]
110,-0.06,"(60.9, 36.8)",[]
111,-0.06,"(60.9, 36.8)",[]
112,-0.06,"(60.9, 36.8)",[]
113,-0.06,"(60.9, 36.8)",[]
114,-0.06,"(60.9, 36.8)",[]
115,-0.06,"(60.9, 36.8)",[]
116,-0.64,"(79.1, 36.8)",['g1e2']
117,-0.64,"(79.1, 36.8)",[]
118,-0.64,"(79.1, 36.8)",[]
119,-0.64,"(79.1, 36.8)",[]
120,-0.64,"(79.1, 36.8)",[]
121,-0.64,"(79.1, 36.8)",[]
122,-0.64,"(79.1, 36.8)",[]
123,-0.64,"(79.1, 36.8)",[]
124,-0.64,"(79.1, 36.8)",[]
125,-0.64,"(79.1, 36.8)",[]
126,-0.64,"(79.1, 36.8)",[]
127,-0.64,"(79.1, 36.8)",[]
128,-0.64,"(79.1, 36.8)",[]
129,-0.64,"(79.1, 36.8)",[]
130,-0.64,"(79.1, 36.8)",[]
131,-0.64,"(79.1, 36.8)",[]
132,-0.64,"(79.1, 36.8)",[]
133,-0.64,"(79.1, 36.8)",[]
134,-0.64,"(79.1, 36.8)",[]
135,-0.64,"(79.1, 36.8)",[]
136,-0.64,"(79.1, 36.8)",[]
137,-0.64,"(79.1, 36.8)",[]
138,-0.64,"(79.1, 36.8)",[]
139,1.27,"(79.1, 59.8)",['c7c5']
140,1.27,"(79.1, 59.8)",[]
141,1.27,"(79.1, 59.8)",[]
142,1.27,"(79.1, 59.8)",[]
143,1.27,"(79.1, 59.8)",[]
144,1.27,"(79.1, 59.8)",[]
145,1.27,"(79.1, 59.8)",[]
146,1.27,"(79.1, 59.8)",[]
147,1.27,"(79.1, 59.8)",[]
148,1.27,"(79.1, 59.8)",[]
149,1.27,"(79.1, 59.8)",[]
150,1.27,"(79.1, 59.8)",[]
151,1.27,"(79.1, 59.8)",[]
152,1.27,"(79.1, 59.8)",[]
153,1.27,"(79.1, 59.8)",[]
154,1.27,"(79.1, 59.8)",[]
155,1.27,"(79.1, 59.8)",[]
156,1.27,"(79.1, 59.8)",[]
