Move,TimeUsed,TotalTime,Eval
0,0.38,"(0.0, 0)",['e2e4']
1,0.35,"(0.0, 0.1)",['c7c5']
2,0.35,"(0.0, 0.1)",[]
3,0.35,"(0.0, 0.1)",[]
4,0.24,"(3.4, 0.1)",['g1f3']
5,0.75,"(3.4, 1.0)",['d7d6']
6,0.75,"(3.4, 1.0)",[]
7,0.75,"(3.4, 1.0)",[]
8,0.75,"(3.4, 1.0)",[]
9,0.75,"(3.4, 1.0)",[]
10,0.75,"(3.4, 1.0)",[]
11,0.75,"(3.4, 1.0)",[]
12,0.75,"(3.4, 1.0)",[]
13,0.75,"(3.4, 1.0)",[]
14,0.75,"(3.4, 1.0)",[]
15,0.75,"(3.4, 1.0)",[]
16,0.75,"(3.4, 1.0)",[]
17,0.75,"(3.4, 1.0)",[]
18,0.43,"(17.0, 1.0)",['d2d4']
19,0.43,"(17.0, 1.0)",[]
20,0.55,"(17.0, 2.9)",['c5d4']
21,0.55,"(17.0, 2.9)",[]
22,0.55,"(17.0, 2.9)",[]
23,0.53,"(19.8, 2.9)",['f3d4']
24,0.53,"(19.8, 2.9)",[]
25,0.53,"(19.8, 2.9)",[]
26,0.53,"(19.8, 2.9)",[]
27,0.53,"(19.8, 2.9)",[]
28,0.53,"(19.8, 2.9)",[]
29,0.53,"(19.8, 2.9)",[]
30,0.53,"(19.8, 2.9)",[]
31,0.53,"(19.8, 2.9)",[]
32,0.53,"(19.8, 2.9)",[]
33,0.49,"(19.8, 12.7)",['g8f6']
34,0.49,"(19.8, 12.7)",[]
35,0.49,"(19.8, 12.7)",[]
36,0.48,"(23.3, 12.7)",['b1c3']
37,0.48,"(23.3, 12.7)",[]
38,0.48,"(23.3, 12.7)",[]
39,0.48,"(23.3, 12.7)",[]
40,0.48,"(23.3, 12.7)",[]
41,0.48,"(23.3, 12.7)",[]
42,0.48,"(23.3, 12.7)",[]
43,0.48,"(23.3, 12.7)",[]
44,0.48,"(23.3, 12.7)",[]
45,0.48,"(23.3, 12.7)",[]
46,0.48,"(23.3, 12.7)",[]
47,0.48,"(23.3, 12.7)",[]
48,0.71,"(23.3, 24.1)",['g7g6']
49,0.71,"(23.3, 24.1)",[]
50,0.71,"(23.3, 24.1)",[]
