Time,Eval,TimeUsed,Moves,Board
0,0.38,"(0.0, 0)",['e2e4'],rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
1,0.4,"(0.0, 0.1)",['c7c6'],rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
2,0.45,"(1.8, 0.1)",['d2d4'],rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
3,0.31,"(1.8, 1.2)",['d7d5'],rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
4,0.31,"(1.8, 1.2)",[],rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3
5,0.25,"(3.7, 1.2)",['e4e5'],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
6,0.25,"(3.7, 1.2)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
7,0.25,"(3.7, 1.2)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
8,0.25,"(3.7, 1.2)",[],rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
9,0.22,"(4.0, 4.5)","['c8f5', 'h2h4']",rn1qkbnr/pp2pppp/2p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR b KQkq - 0 4
10,0.22,"(4.0, 4.5)",[],rn1qkbnr/pp2pppp/2p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR b KQkq - 0 4
11,0.28,"(4.0, 6.4)",['h7h6'],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 5
12,0.02,"(5.2, 6.4)",['g1f3'],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
13,0.02,"(5.2, 6.4)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
14,0.02,"(5.2, 6.4)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
15,0.02,"(5.2, 6.4)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
16,0.02,"(5.2, 6.4)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
17,0.02,"(5.2, 6.4)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
18,0.02,"(5.2, 6.4)",[],rn1qkbnr/pp2ppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R b KQkq - 1 5
19,0.4,"(5.2, 13.1)",['b8d7'],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 2 6
20,0.4,"(5.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 2 6
21,0.4,"(5.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 2 6
22,0.4,"(5.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 2 6
23,0.4,"(5.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 2 6
24,0.4,"(5.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/5N2/PPP2PP1/RNBQKB1R w KQkq - 2 6
25,0.38,"(11.2, 13.1)",['f1d3'],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/3B1N2/PPP2PP1/RNBQK2R b KQkq - 3 6
26,0.38,"(11.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/3B1N2/PPP2PP1/RNBQK2R b KQkq - 3 6
27,0.38,"(11.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/3B1N2/PPP2PP1/RNBQK2R b KQkq - 3 6
28,0.38,"(11.2, 13.1)",[],r2qkbnr/pp1nppp1/2p4p/3pPb2/3P3P/3B1N2/PPP2PP1/RNBQK2R b KQkq - 3 6
29,0.34,"(11.2, 17.5)",['f5d3'],r2qkbnr/pp1nppp1/2p4p/3pP3/3P3P/3b1N2/PPP2PP1/RNBQK2R w KQkq - 0 7
30,-0.04,"(12.0, 17.5)",['d1d3'],r2qkbnr/pp1nppp1/2p4p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R b KQkq - 0 7
31,0.24,"(12.0, 18.5)",['e7e6'],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R w KQkq - 0 8
32,0.24,"(12.0, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R w KQkq - 0 8
33,0.24,"(12.0, 18.5)",[],r2qkbnr/pp1n1pp1/2p1p2p/3pP3/3P3P/3Q1N2/PPP2PP1/RNB1K2R w KQkq - 0 8
