MoveS,MovePGN,Player,TimeUsed,Time,Evaluation,HRDelta,TPM,Board,Game,DeltaPos,maxi,mini
e4,['e2e4'],w,0.0,0,0.38,-1.0,0.0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Game0814-2,0.38,0,-3
e5,['e7e5'],b,0.1,1,0.55,-1.0,0.1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Game0814-2,0.17000000000000004,0,-5
f3,['f2f3'],w,5.9,6,-1.07,2.0,5.9,rnbqkbnr/pppp1ppp/8/4p3/4P3/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 2,Game0814-2,1.62,3,0
Nf6,['g8f6'],b,2.6,9,-0.74,2.0,2.5,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5P2/PPPP2PP/RNBQKBNR w KQkq - 1 3,Game0814-2,0.33000000000000007,8,0
d3,['d2d3'],w,7.2,10,-1.44,1.0,1.2999999999999998,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1P2/PPP3PP/RNBQKBNR b KQkq - 0 3,Game0814-2,0.7,4,0
d5,['d7d5'],b,7.6,15,-1.44,-5.0,5.0,rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/3P1P2/PPP3PP/RNBQKBNR w KQkq - 0 4,Game0814-2,0.0,2,0
Nc3,['b1c3'],w,20.7,29,-1.55,-1.0,13.5,rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/2NP1P2/PPP3PP/R1BQKBNR b KQkq - 1 4,Game0814-2,0.1100000000000001,0,-1
dxe4,['d5e4'],b,14.6,36,-0.12,3.0,7.0,rnbqkb1r/ppp2ppp/5n2/4p3/4p3/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 0 5,Game0814-2,1.4300000000000002,6,0
dxe4,['d3e4'],w,35.3,50,-0.21,-3.0,14.599999999999998,rnbqkb1r/ppp2ppp/5n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5,Game0814-2,0.09,0,0
Nc6,['b8c6'],b,19.2,55,0.14,-1.0,4.6,r1bqkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 6,Game0814-2,0.35,2,-1
