HR,Delta,Time
87,0,0
85,-2,1
84,-3,2
82,-5,3
82,-5,4
82,-5,5
81,-6,6
82,-5,7
83,-4,8
83,-4,9
83,-4,10
82,-5,11
81,-6,12
81,-6,13
80,-7,14
81,-6,15
81,-6,16
82,-5,17
82,-5,18
82,-5,19
83,-4,20
83,-4,21
83,-4,22
83,-4,23
83,-4,24
84,-3,25
83,-4,26
83,-4,27
83,-4,28
82,-5,29
81,-6,30
81,-6,31
80,-7,32
80,-7,33
81,-6,34
82,-5,35
83,-4,36
86,-1,37
87,0,38
87,0,39
85,-2,40
84,-3,41
84,-3,42
82,-5,43
82,-5,44
82,-5,45
83,-4,46
83,-4,47
83,-4,48
83,-4,49
82,-5,50
82,-5,51
82,-5,52
81,-6,53
81,-6,54
80,-7,55
80,-7,56
80,-7,57
80,-7,58
79,-8,59
79,-8,60
78,-9,61
78,-9,62
78,-9,63
79,-8,64
79,-8,65
79,-8,66
79,-8,67
79,-8,68
79,-8,69
78,-9,70
79,-8,71
79,-8,72
79,-8,73
80,-7,74
81,-6,75
82,-5,76
82,-5,77
81,-6,78
80,-7,79
81,-6,80
81,-6,81
81,-6,82
81,-6,83
80,-7,84
80,-7,85
80,-7,86
81,-6,87
80,-7,88
80,-7,89
80,-7,90
80,-7,91
80,-7,92
81,-6,93
82,-5,94
82,-5,95
82,-5,96
82,-5,97
81,-6,98
81,-6,99
81,-6,100
81,-6,101
81,-6,102
81,-6,103
81,-6,104
81,-6,105
80,-7,106
80,-7,107
80,-7,108
80,-7,109
79,-8,110
79,-8,111
80,-7,112
82,-5,113
82,-5,114
82,-5,115
82,-5,116
82,-5,117
81,-6,118
82,-5,119
82,-5,120
82,-5,121
82,-5,122
82,-5,123
82,-5,124
83,-4,125
84,-3,126
84,-3,127
84,-3,128
83,-4,129
83,-4,130
83,-4,131
83,-4,132
83,-4,133
83,-4,134
83,-4,135
82,-5,136
82,-5,137
81,-6,138
80,-7,139
79,-8,140
79,-8,141
80,-7,142
80,-7,143
81,-6,144
81,-6,145
81,-6,146
81,-6,147
80,-7,148
80,-7,149
80,-7,150
81,-6,151
81,-6,152
81,-6,153
82,-5,154
82,-5,155
81,-6,156
80,-7,157
80,-7,158
80,-7,159
80,-7,160
79,-8,161
79,-8,162
79,-8,163
79,-8,164
79,-8,165
80,-7,166
79,-8,167
79,-8,168
79,-8,169
80,-7,170
80,-7,171
80,-7,172
80,-7,173
79,-8,174
78,-9,175
78,-9,176
79,-8,177
79,-8,178
80,-7,179
81,-6,180
82,-5,181
83,-4,182
83,-4,183
82,-5,184
81,-6,185
80,-7,186
79,-8,187
80,-7,188
80,-7,189
80,-7,190
81,-6,191
81,-6,192
81,-6,193
81,-6,194
79,-8,195
79,-8,196
79,-8,197
80,-7,198
80,-7,199
81,-6,200
82,-5,201
82,-5,202
82,-5,203
82,-5,204
82,-5,205
81,-6,206
82,-5,207
82,-5,208
83,-4,209
83,-4,210
83,-4,211
82,-5,212
82,-5,213
82,-5,214
82,-5,215
83,-4,216
84,-3,217
87,0,218
89,2,219
91,4,220
91,4,221
91,4,222
90,3,223
90,3,224
91,4,225
91,4,226
90,3,227
90,3,228
90,3,229
87,0,230
88,1,231
88,1,232
88,1,233
87,0,234
87,0,235
86,-1,236
84,-3,237
82,-5,238
82,-5,239
82,-5,240
82,-5,241
83,-4,242
82,-5,243
81,-6,244
80,-7,245
79,-8,246
78,-9,247
78,-9,248
77,-10,249
77,-10,250
79,-8,251
79,-8,252
78,-9,253
77,-10,254
76,-11,255
75,-12,256
75,-12,257
75,-12,258
76,-11,259
77,-10,260
78,-9,261
79,-8,262
79,-8,263
79,-8,264
79,-8,265
79,-8,266
79,-8,267
78,-9,268
79,-8,269
79,-8,270
80,-7,271
80,-7,272
80,-7,273
80,-7,274
80,-7,275
80,-7,276
80,-7,277
80,-7,278
81,-6,279
82,-5,280
83,-4,281
83,-4,282
83,-4,283
82,-5,284
81,-6,285
81,-6,286
82,-5,287
82,-5,288
82,-5,289
83,-4,290
83,-4,291
83,-4,292
83,-4,293
83,-4,294
83,-4,295
82,-5,296
82,-5,297
82,-5,298
82,-5,299
82,-5,300
82,-5,301
83,-4,302
82,-5,303
81,-6,304
81,-6,305
81,-6,306
81,-6,307
83,-4,308
83,-4,309
83,-4,310
84,-3,311
83,-4,312
83,-4,313
83,-4,314
85,-2,315
86,-1,316
87,0,317
87,0,318
88,1,319
90,3,320
90,3,321
91,4,322
91,4,323
91,4,324
90,3,325
89,2,326
88,1,327
87,0,328
86,-1,329
84,-3,330
84,-3,331
83,-4,332
83,-4,333
83,-4,334
83,-4,335
82,-5,336
82,-5,337
81,-6,338
80,-7,339
80,-7,340
80,-7,341
80,-7,342
80,-7,343
81,-6,344
82,-5,345
81,-6,346
80,-7,347
80,-7,348
79,-8,349
79,-8,350
79,-8,351
79,-8,352
80,-7,353
81,-6,354
82,-5,355
82,-5,356
81,-6,357
80,-7,358
79,-8,359
80,-7,360
80,-7,361
82,-5,362
82,-5,363
84,-3,364
84,-3,365
82,-5,366
82,-5,367
81,-6,368
81,-6,369
83,-4,370
82,-5,371
82,-5,372
82,-5,373
80,-7,374
79,-8,375
79,-8,376
78,-9,377
79,-8,378
79,-8,379
80,-7,380
81,-6,381
81,-6,382
84,-3,383
84,-3,384
85,-2,385
85,-2,386
86,-1,387
86,-1,388
86,-1,389
85,-2,390
85,-2,391
85,-2,392
84,-3,393
85,-2,394
85,-2,395
86,-1,396
85,-2,397
85,-2,398
83,-4,399
83,-4,400
83,-4,401
83,-4,402
84,-3,403
85,-2,404
86,-1,405
86,-1,406
86,-1,407
86,-1,408
85,-2,409
83,-4,410
82,-5,411
81,-6,412
81,-6,413
81,-6,414
82,-5,415
82,-5,416
82,-5,417
81,-6,418
80,-7,419
80,-7,420
80,-7,421
80,-7,422
80,-7,423
82,-5,424
83,-4,425
86,-1,426
88,1,427
89,2,428
89,2,429
88,1,430
86,-1,431
85,-2,432
86,-1,433
86,-1,434
87,0,435
86,-1,436
85,-2,437
84,-3,438
83,-4,439
82,-5,440
81,-6,441
82,-5,442
83,-4,443
84,-3,444
84,-3,445
84,-3,446
84,-3,447
83,-4,448
82,-5,449
80,-7,450
80,-7,451
81,-6,452
82,-5,453
83,-4,454
83,-4,455
82,-5,456
81,-6,457
81,-6,458
81,-6,459
81,-6,460
82,-5,461
82,-5,462
81,-6,463
81,-6,464
81,-6,465
80,-7,466
80,-7,467
81,-6,468
84,-3,469
86,-1,470
85,-2,471
86,-1,472
86,-1,473
86,-1,474
87,0,475
87,0,476
88,1,477
88,1,478
88,1,479
87,0,480
86,-1,481
85,-2,482
85,-2,483
85,-2,484
85,-2,485
85,-2,486
84,-3,487
84,-3,488
84,-3,489
84,-3,490
84,-3,491
84,-3,492
85,-2,493
84,-3,494
85,-2,495
85,-2,496
85,-2,497
84,-3,498
84,-3,499
84,-3,500
85,-2,501
85,-2,502
85,-2,503
85,-2,504
86,-1,505
87,0,506
88,1,507
89,2,508
89,2,509
89,2,510
88,1,511
87,0,512
87,0,513
87,0,514
86,-1,515
86,-1,516
86,-1,517
89,2,518
92,5,519
93,6,520
94,7,521
94,7,522
94,7,523
90,3,524
88,1,525
87,0,526
87,0,527
88,1,528
88,1,529
87,0,530
87,0,531
84,-3,532
83,-4,533
82,-5,534
82,-5,535
82,-5,536
82,-5,537
82,-5,538
82,-5,539
82,-5,540
81,-6,541
81,-6,542
81,-6,543
80,-7,544
80,-7,545
80,-7,546
82,-5,547
83,-4,548
82,-5,549
82,-5,550
81,-6,551
80,-7,552
79,-8,553
79,-8,554
79,-8,555
79,-8,556
80,-7,557
80,-7,558
80,-7,559
80,-7,560
80,-7,561
79,-8,562
79,-8,563
79,-8,564
80,-7,565
80,-7,566
81,-6,567
83,-4,568
85,-2,569
86,-1,570
88,1,571
88,1,572
87,0,573
86,-1,574
87,0,575
88,1,576
91,4,577
92,5,578
93,6,579
93,6,580
94,7,581
94,7,582
94,7,583
90,3,584
89,2,585
89,2,586
89,2,587
88,1,588
88,1,589
87,0,590
86,-1,591
84,-3,592
83,-4,593
81,-6,594
81,-6,595
82,-5,596
83,-4,597
83,-4,598
83,-4,599
83,-4,600
82,-5,601
80,-7,602
80,-7,603
80,-7,604
80,-7,605
79,-8,606
80,-7,607
81,-6,608
83,-4,609
85,-2,610
91,4,611
95,8,612
95,8,613
96,9,614
98,11,615
98,11,616
98,11,617
97,10,618
97,10,619
97,10,620
95,8,621
94,7,622
93,6,623
93,6,624
94,7,625
93,6,626
93,6,627
93,6,628
92,5,629
92,5,630
91,4,631
90,3,632
90,3,633
89,2,634
88,1,635
88,1,636
87,0,637
87,0,638
88,1,639
88,1,640
88,1,641
87,0,642
86,-1,643
85,-2,644
85,-2,645
85,-2,646
85,-2,647
86,-1,648
87,0,649
88,1,650
88,1,651
88,1,652
87,0,653
87,0,654
87,0,655
88,1,656
88,1,657
88,1,658
88,1,659
87,0,660
87,0,661
86,-1,662
87,0,663
87,0,664
87,0,665
88,1,666
89,2,667
90,3,668
91,4,669
91,4,670
91,4,671
89,2,672
86,-1,673
86,-1,674
86,-1,675
86,-1,676
87,0,677
89,2,678
89,2,679
88,1,680
87,0,681
87,0,682
87,0,683
87,0,684
87,0,685
89,2,686
92,5,687
93,6,688
92,5,689
91,4,690
90,3,691
88,1,692
88,1,693
89,2,694
90,3,695
91,4,696
92,5,697
92,5,698
92,5,699
90,3,700
87,0,701
86,-1,702
86,-1,703
86,-1,704
86,-1,705
86,-1,706
86,-1,707
85,-2,708
84,-3,709
84,-3,710
84,-3,711
85,-2,712
87,0,713
87,0,714
88,1,715
88,1,716
90,3,717
91,4,718
92,5,719
92,5,720
91,4,721
90,3,722
89,2,723
88,1,724
87,0,725
87,0,726
88,1,727
88,1,728
88,1,729
88,1,730
87,0,731
85,-2,732
84,-3,733
84,-3,734
83,-4,735
84,-3,736
85,-2,737
86,-1,738
87,0,739
87,0,740
85,-2,741
84,-3,742
83,-4,743
83,-4,744
82,-5,745
83,-4,746
83,-4,747
83,-4,748
83,-4,749
83,-4,750
83,-4,751
82,-5,752
81,-6,753
81,-6,754
82,-5,755
82,-5,756
82,-5,757
82,-5,758
80,-7,759
80,-7,760
80,-7,761
81,-6,762
82,-5,763
83,-4,764
83,-4,765
83,-4,766
83,-4,767
82,-5,768
82,-5,769
82,-5,770
83,-4,771
84,-3,772
84,-3,773
84,-3,774
84,-3,775
83,-4,776
82,-5,777
81,-6,778
82,-5,779
82,-5,780
83,-4,781
85,-2,782
87,0,783
88,1,784
90,3,785
90,3,786
90,3,787
90,3,788
91,4,789
93,6,790
93,6,791
96,9,792
99,12,793
99,12,794
99,12,795
99,12,796
96,9,797
92,5,798
91,4,799
88,1,800
88,1,801
88,1,802
90,3,803
91,4,804
90,3,805
90,3,806
87,0,807
87,0,808
86,-1,809
86,-1,810
87,0,811
86,-1,812
86,-1,813
85,-2,814
85,-2,815
84,-3,816
84,-3,817
84,-3,818
86,-1,819
86,-1,820
89,2,821
90,3,822
90,3,823
89,2,824
88,1,825
87,0,826
88,1,827
89,2,828
90,3,829
90,3,830
89,2,831
88,1,832
86,-1,833
86,-1,834
85,-2,835
86,-1,836
87,0,837
87,0,838
87,0,839
86,-1,840
85,-2,841
84,-3,842
83,-4,843
83,-4,844
83,-4,845
84,-3,846
86,-1,847
88,1,848
89,2,849
89,2,850
88,1,851
88,1,852
89,2,853
89,2,854
90,3,855
90,3,856
91,4,857
92,5,858
95,8,859
96,9,860
96,9,861
95,8,862
94,7,863
93,6,864
92,5,865
91,4,866
91,4,867
91,4,868
90,3,869
89,2,870
88,1,871
87,0,872
87,0,873
88,1,874
88,1,875
88,1,876
88,1,877
88,1,878
88,1,879
88,1,880
88,1,881
88,1,882
88,1,883
87,0,884
86,-1,885
86,-1,886
86,-1,887
86,-1,888
87,0,889
88,1,890
89,2,891
89,2,892
89,2,893
87,0,894
86,-1,895
86,-1,896
85,-2,897
85,-2,898
85,-2,899
85,-2,900
85,-2,901
84,-3,902
85,-2,903
86,-1,904
88,1,905
88,1,906
88,1,907
88,1,908
85,-2,909
85,-2,910
85,-2,911
85,-2,912
86,-1,913
88,1,914
89,2,915
89,2,916
90,3,917
91,4,918
90,3,919
90,3,920
89,2,921
89,2,922
90,3,923
90,3,924
89,2,925
89,2,926
88,1,927
87,0,928
87,0,929
86,-1,930
86,-1,931
87,0,932
87,0,933
86,-1,934
86,-1,935
87,0,936
87,0,937
88,1,938
88,1,939
88,1,940
87,0,941
86,-1,942
86,-1,943
86,-1,944
87,0,945
87,0,946
88,1,947
87,0,948
87,0,949
86,-1,950
84,-3,951
85,-2,952
85,-2,953
87,0,954
88,1,955
88,1,956
87,0,957
85,-2,958
85,-2,959
84,-3,960
84,-3,961
85,-2,962
86,-1,963
87,0,964
88,1,965
88,1,966
88,1,967
88,1,968
89,2,969
88,1,970
87,0,971
86,-1,972
86,-1,973
86,-1,974
86,-1,975
86,-1,976
86,-1,977
87,0,978
87,0,979
87,0,980
86,-1,981
86,-1,982
86,-1,983
86,-1,984
86,-1,985
86,-1,986
84,-3,987
84,-3,988
84,-3,989
84,-3,990
85,-2,991
86,-1,992
86,-1,993
86,-1,994
85,-2,995
83,-4,996
83,-4,997
84,-3,998
84,-3,999
85,-2,1000
85,-2,1001
85,-2,1002
86,-1,1003
86,-1,1004
86,-1,1005
87,0,1006
87,0,1007
87,0,1008
88,1,1009
89,2,1010
89,2,1011
90,3,1012
89,2,1013
89,2,1014
89,2,1015
89,2,1016
90,3,1017
91,4,1018
91,4,1019
93,6,1020
93,6,1021
92,5,1022
91,4,1023
90,3,1024
88,1,1025
87,0,1026
87,0,1027
86,-1,1028
86,-1,1029
87,0,1030
87,0,1031
88,1,1032
88,1,1033
89,2,1034
89,2,1035
88,1,1036
88,1,1037
87,0,1038
87,0,1039
87,0,1040
88,1,1041
89,2,1042
89,2,1043
89,2,1044
89,2,1045
88,1,1046
88,1,1047
89,2,1048
89,2,1049
90,3,1050
91,4,1051
90,3,1052
90,3,1053
89,2,1054
89,2,1055
89,2,1056
90,3,1057
90,3,1058
91,4,1059
90,3,1060
90,3,1061
90,3,1062
90,3,1063
91,4,1064
91,4,1065
91,4,1066
91,4,1067
91,4,1068
90,3,1069
90,3,1070
90,3,1071
90,3,1072
90,3,1073
91,4,1074
92,5,1075
92,5,1076
92,5,1077
91,4,1078
91,4,1079
92,5,1080
92,5,1081
91,4,1082
91,4,1083
91,4,1084
89,2,1085
89,2,1086
89,2,1087
89,2,1088
90,3,1089
90,3,1090
89,2,1091
88,1,1092
89,2,1093
89,2,1094
90,3,1095
90,3,1096
90,3,1097
89,2,1098
88,1,1099
88,1,1100
89,2,1101
89,2,1102
90,3,1103
91,4,1104
92,5,1105
92,5,1106
90,3,1107
90,3,1108
89,2,1109
89,2,1110
90,3,1111
90,3,1112
91,4,1113
92,5,1114
92,5,1115
92,5,1116
93,6,1117
94,7,1118
96,9,1119
97,10,1120
98,11,1121
98,11,1122
97,10,1123
97,10,1124
97,10,1125
97,10,1126
96,9,1127
95,8,1128
95,8,1129
95,8,1130
95,8,1131
97,10,1132
97,10,1133
97,10,1134
98,11,1135
98,11,1136
98,11,1137
100,13,1138
102,15,1139
103,16,1140
103,16,1141
103,16,1142
102,15,1143
103,16,1144
103,16,1145
103,16,1146
104,17,1147
104,17,1148
103,16,1149
103,16,1150
102,15,1151
103,16,1152
104,17,1153
106,19,1154
108,21,1155
110,23,1156
110,23,1157
110,23,1158
108,21,1159
108,21,1160
108,21,1161
108,21,1162
108,21,1163
107,20,1164
104,17,1165
