HR,Delta,Time
83,0,0
82,-1,1
81,-2,2
81,-2,3
81,-2,4
81,-2,5
81,-2,6
82,-1,7
82,-1,8
83,0,9
82,-1,10
82,-1,11
81,-2,12
81,-2,13
81,-2,14
82,-1,15
82,-1,16
82,-1,17
82,-1,18
81,-2,19
80,-3,20
80,-3,21
79,-4,22
79,-4,23
79,-4,24
79,-4,25
80,-3,26
79,-4,27
80,-3,28
79,-4,29
80,-3,30
81,-2,31
82,-1,32
83,0,33
83,0,34
82,-1,35
81,-2,36
80,-3,37
80,-3,38
80,-3,39
80,-3,40
81,-2,41
81,-2,42
83,0,43
83,0,44
83,0,45
83,0,46
81,-2,47
79,-4,48
77,-6,49
77,-6,50
77,-6,51
78,-5,52
79,-4,53
80,-3,54
80,-3,55
79,-4,56
79,-4,57
79,-4,58
77,-6,59
76,-7,60
75,-8,61
75,-8,62
78,-5,63
79,-4,64
81,-2,65
82,-1,66
82,-1,67
82,-1,68
81,-2,69
80,-3,70
80,-3,71
80,-3,72
80,-3,73
80,-3,74
80,-3,75
80,-3,76
80,-3,77
80,-3,78
80,-3,79
79,-4,80
78,-5,81
78,-5,82
78,-5,83
79,-4,84
79,-4,85
81,-2,86
82,-1,87
82,-1,88
83,0,89
84,1,90
83,0,91
82,-1,92
82,-1,93
83,0,94
83,0,95
83,0,96
83,0,97
82,-1,98
81,-2,99
80,-3,100
79,-4,101
79,-4,102
78,-5,103
78,-5,104
79,-4,105
78,-5,106
79,-4,107
78,-5,108
78,-5,109
77,-6,110
77,-6,111
77,-6,112
77,-6,113
77,-6,114
77,-6,115
77,-6,116
77,-6,117
77,-6,118
77,-6,119
77,-6,120
77,-6,121
77,-6,122
78,-5,123
79,-4,124
79,-4,125
79,-4,126
79,-4,127
79,-4,128
79,-4,129
78,-5,130
79,-4,131
79,-4,132
79,-4,133
79,-4,134
79,-4,135
79,-4,136
78,-5,137
78,-5,138
77,-6,139
77,-6,140
77,-6,141
78,-5,142
79,-4,143
79,-4,144
80,-3,145
81,-2,146
81,-2,147
80,-3,148
79,-4,149
79,-4,150
78,-5,151
78,-5,152
79,-4,153
80,-3,154
80,-3,155
81,-2,156
79,-4,157
79,-4,158
78,-5,159
78,-5,160
77,-6,161
77,-6,162
77,-6,163
78,-5,164
78,-5,165
79,-4,166
79,-4,167
79,-4,168
78,-5,169
77,-6,170
76,-7,171
77,-6,172
76,-7,173
77,-6,174
77,-6,175
77,-6,176
77,-6,177
77,-6,178
77,-6,179
77,-6,180
77,-6,181
76,-7,182
76,-7,183
76,-7,184
76,-7,185
76,-7,186
76,-7,187
76,-7,188
76,-7,189
77,-6,190
76,-7,191
77,-6,192
78,-5,193
78,-5,194
78,-5,195
77,-6,196
76,-7,197
76,-7,198
76,-7,199
76,-7,200
77,-6,201
77,-6,202
77,-6,203
77,-6,204
76,-7,205
77,-6,206
77,-6,207
76,-7,208
76,-7,209
76,-7,210
74,-9,211
74,-9,212
73,-10,213
73,-10,214
73,-10,215
74,-9,216
75,-8,217
76,-7,218
77,-6,219
77,-6,220
77,-6,221
78,-5,222
78,-5,223
80,-3,224
81,-2,225
80,-3,226
80,-3,227
79,-4,228
79,-4,229
79,-4,230
79,-4,231
79,-4,232
79,-4,233
80,-3,234
80,-3,235
79,-4,236
79,-4,237
77,-6,238
76,-7,239
77,-6,240
