HR,Delta
83,0
82,-1
81,-2
81,-2
81,-2
81,-2
81,-2
82,-1
82,-1
83,0
82,-1
82,-1
81,-2
81,-2
81,-2
82,-1
82,-1
82,-1
82,-1
81,-2
80,-3
80,-3
79,-4
79,-4
79,-4
79,-4
80,-3
79,-4
80,-3
79,-4
80,-3
81,-2
82,-1
83,0
83,0
82,-1
81,-2
80,-3
80,-3
80,-3
80,-3
81,-2
81,-2
83,0
83,0
83,0
83,0
81,-2
79,-4
77,-6
77,-6
77,-6
78,-5
79,-4
80,-3
80,-3
79,-4
79,-4
79,-4
77,-6
76,-7
75,-8
75,-8
78,-5
79,-4
81,-2
82,-1
82,-1
82,-1
81,-2
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
79,-4
78,-5
78,-5
78,-5
79,-4
79,-4
81,-2
82,-1
82,-1
83,0
84,1
83,0
82,-1
82,-1
83,0
83,0
83,0
83,0
82,-1
81,-2
80,-3
79,-4
79,-4
78,-5
78,-5
79,-4
78,-5
79,-4
78,-5
78,-5
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
78,-5
79,-4
79,-4
79,-4
79,-4
79,-4
79,-4
78,-5
79,-4
79,-4
79,-4
79,-4
79,-4
79,-4
78,-5
78,-5
77,-6
77,-6
77,-6
78,-5
79,-4
79,-4
80,-3
81,-2
81,-2
80,-3
79,-4
79,-4
78,-5
78,-5
79,-4
80,-3
80,-3
81,-2
79,-4
79,-4
78,-5
78,-5
77,-6
77,-6
77,-6
78,-5
78,-5
79,-4
79,-4
79,-4
78,-5
77,-6
76,-7
77,-6
76,-7
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
76,-7
76,-7
76,-7
76,-7
76,-7
76,-7
76,-7
76,-7
77,-6
76,-7
77,-6
78,-5
78,-5
78,-5
77,-6
76,-7
76,-7
76,-7
76,-7
77,-6
77,-6
77,-6
77,-6
76,-7
77,-6
77,-6
76,-7
76,-7
76,-7
74,-9
74,-9
73,-10
73,-10
73,-10
74,-9
75,-8
76,-7
77,-6
77,-6
77,-6
78,-5
78,-5
80,-3
81,-2
80,-3
80,-3
79,-4
79,-4
79,-4
79,-4
79,-4
79,-4
80,-3
80,-3
79,-4
79,-4
77,-6
76,-7
77,-6
77,-6
77,-6
77,-6
77,-6
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
78,-5
77,-6
77,-6
76,-7
75,-8
75,-8
74,-9
75,-8
75,-8
75,-8
75,-8
76,-7
75,-8
75,-8
75,-8
75,-8
75,-8
76,-7
77,-6
77,-6
77,-6
77,-6
76,-7
75,-8
75,-8
75,-8
76,-7
77,-6
78,-5
78,-5
79,-4
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
79,-4
79,-4
80,-3
80,-3
79,-4
79,-4
78,-5
78,-5
79,-4
81,-2
82,-1
84,1
84,1
84,1
83,0
83,0
82,-1
83,0
84,1
84,1
84,1
84,1
83,0
82,-1
82,-1
81,-2
80,-3
81,-2
81,-2
82,-1
81,-2
80,-3
79,-4
79,-4
78,-5
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
77,-6
78,-5
79,-4
79,-4
78,-5
77,-6
76,-7
76,-7
76,-7
75,-8
76,-7
76,-7
77,-6
78,-5
79,-4
79,-4
79,-4
79,-4
80,-3
81,-2
81,-2
83,0
83,0
83,0
83,0
83,0
83,0
84,1
84,1
84,1
84,1
83,0
83,0
82,-1
81,-2
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
79,-4
79,-4
79,-4
79,-4
79,-4
79,-4
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
81,-2
81,-2
82,-1
82,-1
81,-2
81,-2
80,-3
80,-3
80,-3
80,-3
81,-2
82,-1
82,-1
81,-2
81,-2
79,-4
77,-6
77,-6
76,-7
76,-7
76,-7
77,-6
78,-5
78,-5
77,-6
77,-6
78,-5
78,-5
78,-5
79,-4
79,-4
79,-4
80,-3
80,-3
80,-3
81,-2
81,-2
80,-3
79,-4
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
78,-5
79,-4
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
83,0
85,2
87,4
89,6
90,7
91,8
93,10
94,11
94,11
94,11
95,12
94,11
94,11
92,9
91,8
89,6
87,4
85,2
84,1
83,0
82,-1
82,-1
81,-2
80,-3
79,-4
78,-5
77,-6
76,-7
75,-8
75,-8
75,-8
75,-8
76,-7
76,-7
77,-6
78,-5
78,-5
79,-4
80,-3
79,-4
80,-3
79,-4
79,-4
80,-3
81,-2
81,-2
82,-1
82,-1
82,-1
81,-2
82,-1
81,-2
80,-3
81,-2
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
81,-2
81,-2
82,-1
82,-1
82,-1
81,-2
81,-2
80,-3
81,-2
81,-2
81,-2
81,-2
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
80,-3
81,-2
81,-2
82,-1
82,-1
82,-1
81,-2
81,-2
82,-1
82,-1
82,-1
82,-1
83,0
83,0
83,0
83,0
84,1
86,3
89,6
90,7
90,7
91,8
92,9
93,10
93,10
93,10
93,10
91,8
90,7
89,6
88,5
88,5
87,4
86,3
86,3
86,3
86,3
84,1
84,1
83,0
82,-1
82,-1
82,-1
84,1
84,1
84,1
83,0
83,0
83,0
84,1
84,1
84,1
84,1
83,0
83,0
83,0
82,-1
81,-2
82,-1
82,-1
81,-2
82,-1
82,-1
81,-2
81,-2
82,-1
82,-1
82,-1
83,0
84,1
83,0
82,-1
82,-1
81,-2
80,-3
81,-2
82,-1
82,-1
81,-2
81,-2
82,-1
82,-1
83,0
84,1
86,3
87,4
89,6
89,6
88,5
88,5
86,3
85,2
85,2
85,2
87,4
87,4
86,3
86,3
84,1
83,0
80,-3
79,-4
79,-4
78,-5
77,-6
76,-7
75,-8
75,-8
74,-9
74,-9
74,-9
73,-10
73,-10
72,-11
72,-11
73,-10
73,-10
74,-9
74,-9
74,-9
73,-10
73,-10
73,-10
73,-10
73,-10
73,-10
74,-9
74,-9
74,-9
75,-8
75,-8
74,-9
74,-9
73,-10
74,-9
75,-8
75,-8
79,-4
85,2
90,7
96,13
99,16
101,18
101,18
101,18
101,18
97,14
92,9
88,5
84,1
81,-2
78,-5
76,-7
74,-9
72,-11
70,-13
70,-13
70,-13
72,-11
73,-10
73,-10
73,-10
71,-12
69,-14
68,-15
67,-16
67,-16
67,-16
67,-16
66,-17
66,-17
66,-17
68,-15
68,-15
70,-13
72,-11
73,-10
74,-9
74,-9
74,-9
74,-9
75,-8
76,-7
77,-6
77,-6
78,-5
77,-6
77,-6
77,-6
77,-6
76,-7
76,-7
76,-7
75,-8
75,-8
75,-8
77,-6
77,-6
77,-6
77,-6
76,-7
76,-7
76,-7
76,-7
76,-7
77,-6
77,-6
77,-6
78,-5
80,-3
81,-2
81,-2
81,-2
81,-2
81,-2
83,0
83,0
84,1
83,0
81,-2
81,-2
81,-2
80,-3
81,-2
80,-3
80,-3
79,-4
79,-4
79,-4
79,-4
78,-5
78,-5
78,-5
78,-5
77,-6
78,-5
78,-5
77,-6
78,-5
78,-5
78,-5
79,-4
79,-4
78,-5
79,-4
78,-5
77,-6
77,-6
77,-6
78,-5
78,-5
79,-4
80,-3
81,-2
80,-3
80,-3
80,-3
79,-4
80,-3
80,-3
80,-3
82,-1
82,-1
84,1
85,2
85,2
85,2
87,4
89,6
90,7
93,10
96,13
96,13
97,14
97,14
96,13
95,12
95,12
95,12
95,12
94,11
93,10
93,10
91,8
90,7
88,5
87,4
87,4
88,5
87,4
85,2
84,1
83,0
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
78,-5
78,-5
77,-6
77,-6
78,-5
78,-5
78,-5
78,-5
77,-6
77,-6
77,-6
77,-6
76,-7
76,-7
77,-6
78,-5
78,-5
77,-6
77,-6
76,-7
75,-8
75,-8
75,-8
75,-8
75,-8
75,-8
75,-8
76,-7
77,-6
77,-6
76,-7
77,-6
77,-6
78,-5
78,-5
79,-4
79,-4
79,-4
79,-4
79,-4
80,-3
80,-3
81,-2
81,-2
81,-2
82,-1
82,-1
83,0
84,1
84,1
84,1
84,1
84,1
85,2
85,2
86,3
84,1
84,1
83,0
82,-1
82,-1
83,0
83,0
83,0
83,0
83,0
84,1
85,2
86,3
86,3
87,4
87,4
87,4
88,5
88,5
88,5
89,6
87,4
86,3
85,2
84,1
82,-1
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
80,-3
80,-3
79,-4
79,-4
79,-4
79,-4
80,-3
80,-3
81,-2
82,-1
81,-2
81,-2
82,-1
82,-1
82,-1
83,0
82,-1
82,-1
84,1
84,1
85,2
85,2
86,3
87,4
88,5
88,5
88,5
88,5
87,4
87,4
89,6
89,6
89,6
88,5
88,5
87,4
85,2
84,1
83,0
82,-1
82,-1
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
81,-2
82,-1
82,-1
82,-1
82,-1
83,0
83,0
84,1
84,1
84,1
84,1
85,2
86,3
87,4
89,6
92,9
95,12
97,14
99,16
102,19
105,22
108,25
110,27
110,27
110,27
110,27
109,26
108,25
108,25
104,21
104,21
104,21
104,21
105,22
104,21
104,21
101,18
101,18
98,15
93,10
92,9
91,8
87,4
86,3
85,2
83,0
81,-2
81,-2
81,-2
81,-2
80,-3
80,-3
79,-4
79,-4
79,-4
78,-5
78,-5
77,-6
76,-7
76,-7
77,-6
78,-5
77,-6
77,-6
76,-7
75,-8
75,-8
75,-8
75,-8
76,-7
76,-7
76,-7
76,-7
76,-7
77,-6
77,-6
78,-5
79,-4
79,-4
79,-4
78,-5
79,-4
78,-5
79,-4
79,-4
79,-4
80,-3
81,-2
82,-1
83,0
83,0
83,0
83,0
82,-1
82,-1
82,-1
83,0
86,3
87,4
87,4
87,4
87,4
86,3
86,3
87,4
88,5
88,5
88,5
87,4
85,2
84,1
84,1
83,0
84,1
84,1
87,4
88,5
88,5
88,5
88,5
